anio,jugador,seleccion,amarillas,rojas
2010,John Heitinga,Paises Bajos,1,1
2010,Kaká,Brasil,1,1
2010,Aleksandar Lukovic,Serbia,1,1
2010,Valon Behrami,Suiza,0,1
2010,Tim Cahill,Australia,0,1
2010,Ricardo Costa,Portugal,0,1
2010,Marco Estrada,Chile,0,1
2010,Abdelkader Ghezzal,Argelia,0,1
2010,Yoann Gourcuff,Francia,0,1
2010,Sani Kaita,Nigeria,0,1
2010,Harry Kewell,Australia,0,1
2010,Itumeleng Khune,Sudáfrica,0,1
2010,Miroslav Klose,Alemania,0,1
2010,Nicolas Lodeiro,Uruguay,0,1
2010,Luis Suarez,Uruguay,0,1
2010,Anther Yahia,Argelia,0,1
2010,Victor Caceres,Paraguay,3,0
2010,Nigel De Jong,Paises Bajos,3,0
2010,Gregory Van Der Wiel,Paises Bajos,3,0
2010,Andre Ayew,Ghana,2,0
2010,Cacau,Alemania,2,0
2010,Carlos Carmona,Chile,2,0
2010,Jamie Carragher,Inglaterra,2,0
2010,Steve Cherundolo,Estados Unidos,2,0
2010,Kagisho Dikgacoi,Sudáfrica,2,0
2010,Yasuhito Endo,Japón,2,0
2010,Matias Fernandez,Chile,2,0
2010,Robbie Findley,Estados Unidos,2,0
2010,Arne Friedrich,Alemania,2,0
2010,Jorge Fucile,Uruguay,2,0
2010,Jonas Gutierrez,Argentina,2,0
2010,Glen Johnson,Inglaterra,2,0
2010,Bojan Jokic,Eslovenia,2,0
2010,Efrain Juarez,México,2,0
2010,Simon Kjaer,Dinamarca,2,0
2010,Medhi Lacen,Argelia,2,0
2010,Javier Mascherano,Argentina,2,0
2010,Stephane Mbia,Camerún,2,0
2010,Gary Medel,Chile,2,0
2010,John Mensah,Ghana,2,0
2010,Craig Moore,Australia,2,0
2010,Thomas Müller,Alemania,2,0
2010,Yuto Nagatomo,Japón,2,0
2010,Ryan Nelsen,Nueva Zelanda,2,0
2010,Nicolas Nkoulou,Camerún,2,0
2010,Chinedu Ogbuke Obasi,Nigeria,2,0
2010,Wilson Palacios,Honduras,2,0
2010,Diego Perez,Uruguay,2,0
2010,Waldo Ponce,Chile,2,0
2010,Ramires,Brasil,2,0
2010,Arjen Robben,Paises Bajos,2,0
2010,Zdenko Strba,Eslovaquia,2,0
2010,Tiago,Portugal,2,0
2010,Jeremy Toulalan,Francia,2,0
2010,Mark Van Bommel,Paises Bajos,2,0
2010,Giovanni Van Bronckhorst,Paises Bajos,2,0
2010,Robin Van Persie,Paises Bajos,2,0
2010,Hassan Yebda,Argelia,2,0
2010,Yuki Abe,Japón,1,0
2010,Eric Abidal,Francia,1,0
2010,Lee Addy,Ghana,1,0
2010,Antolin Alcaraz,Paraguay,1,0
2010,Hugo Almeida,Portugal,1,0
2010,Xabi Alonso,España,1,0
2010,Jozy Altidore,Estados Unidos,1,0
2010,Anthony Annan,Ghana,1,0
2010,Dennis Aogo,Alemania,1,0
2010,Egidio Arevalo,Uruguay,1,0
2010,Yussuf Ayila,Nigeria,1,0
2010,Tranquillo Barnetta,Suiza,1,0
2010,Sebastien Bassong,Camerún,1,0
2010,DaMarcus Beasley,Estados Unidos,1,0
2010,Michael Beauchamp,Australia,1,0
2010,Diego Benaglio,Suiza,1,0
2010,Nicklas Bendtner,Dinamarca,1,0
2010,Valter Birsa,Eslovenia,1,0
2010,Carlos Bocanegra,Estados Unidos,1,0
2010,Mario Bolatti,Argentina,1,0
2010,Khalid Boulahrouz,Paises Bajos,1,0
2010,Sergio Busquets,España,1,0
2010,Martin Caceres,Uruguay,1,0
2010,Mauro Camoranesi,Italia,1,0
2010,Fabio Cannavaro,Italia,1,0
2010,Joan Capdevila,España,1,0
2010,Israel Castro,México,1,0
2010,Bostjan Cesar,Eslovenia,1,0
2010,Du Ri Cha,Corea del Sur,1,0
2010,Osman Chavez,Honduras,1,0
2010,Giorgio Chiellini,Italia,1,0
2010,Yong Hyung Cho,Corea del Sur,1,0
2010,Ricardo Clark,Estados Unidos,1,0
2010,Fabio Coentrao,Portugal,1,0
2010,Zlatko Dedic,Eslovenia,1,0
2010,Guy Demel,Costa de Marfil,1,0
2010,Jay Demerit,Estados Unidos,1,0
2010,Abou Diaby,Francia,1,0
2010,Duda,Portugal,1,0
2010,Jan Durica,Eslovaquia,1,0
2010,Brett Emerton,Australia,1,0
2010,Vincent Enyeama,Nigeria,1,0
2010,Patrice Evra,Francia,1,0
2010,Rory Fallon,Nueva Zelanda,1,0
2010,Felipe Melo,Brasil,1,0
2010,Gelson Fernandes,Suiza,1,0
2010,Guillermo Franco,México,1,0
2010,Ismael Fuentes,Chile,1,0
2010,Steven Gerrard,Inglaterra,1,0
2010,Stephane Grichting,Suiza,1,0
2010,Lukman Haruna,Nigeria,1,0
2010,Gabriel Heinze,Argentina,1,0
2010,Javier Hernandez,México,1,0
2010,Keisuke Honda,Japón,1,0
2010,Yong Jo Hong,Corea del Norte,1,0
2010,Andrés Iniesta,España,1,0
2010,Gokhan Inler,Suiza,1,0
2010,Branislav Ivanovic,Serbia,1,0
2010,Emilio Izaguirre,Honduras,1,0
2010,Juan,Brasil,1,0
2010,Konstantinos Katsouranis,Grecia,1,0
2010,Sami Khedira,Alemania,1,0
2010,Nam Il Kim,Corea del Sur,1,0
2010,Jung Woo Kim,Corea del Sur,1,0
2010,Andraz Kirm,Eslovenia,1,0
2010,Aleksandar Kolarov,Serbia,1,0
2010,Andrej Komac,Eslovenia,1,0
2010,Kamil Kopunek,Eslovaquia,1,0
2010,Per Kroldrup,Dinamarca,1,0
2010,Juraj Kucka,Eslovaquia,1,0
2010,Dirk Kuyt,Paises Bajos,1,0
2010,Zdravko Kuzmanovic,Serbia,1,0
2010,Philipp Lahm,Alemania,1,0
2010,Chung-yong Lee,Corea del Sur,1,0
2010,Tony Lochhead,Nueva Zelanda,1,0
2010,Diego Lugano,Uruguay,1,0
2010,Luis Fabiano,Brasil,1,0
2010,Rafael Marquez,México,1,0
2010,Tsepo Masilela,Sudáfrica,1,0
2010,Joris Mathijsen,Paises Bajos,1,0
2010,Daisuke Matsui,Japón,1,0
2010,Jonathan Mensah,Ghana,1,0
2010,Michel Bastos,Brasil,1,0
2010,Rodrigo Millar,Chile,1,0
2010,James Milner,Inglaterra,1,0
2010,Claudio Morel,Paraguay,1,0
2010,Hector Moreno,México,1,0
2010,Jan Mucha,Eslovaquia,1,0
2010,Lucas Neill,Australia,1,0
2010,Milos Ninkovic,Serbia,1,0
2010,Blaise Nkufo,Suiza,1,0
2010,Andre Ooijer,Paises Bajos,1,0
2010,Nicolas Otamendi,Argentina,1,0
2010,Mesut Ozil,Alemania,1,0
2010,Chol Jin Pak,Corea del Norte,1,0
2010,John Pantsil,Ghana,1,0
2010,Sokratis Papastathopoulos,Grecia,1,0
2010,Pedro Mendes,Portugal,1,0
2010,Peter Pekarik,Eslovaquia,1,0
2010,Simone Pepe,Italia,1,0
2010,Pepe,Portugal,1,0
2010,Maximiliano Pereira,Uruguay,1,0
2010,Steven Pienaar,Sudáfrica,1,0
2010,Gerard Piqué,España,1,0
2010,Christian Poulsen,Dinamarca,1,0
2010,Carles Puyol,España,1,0
2010,Fabio Quagliarella,Italia,1,0
2010,Aleksandar Radosavljevic,Eslovenia,1,0
2010,Sergio Ramos,España,1,0
2010,Winston Reid,Nueva Zelanda,1,0
2010,Franck Ribery,Francia,1,0
2010,Cristian Riveros,Paraguay,1,0
2010,Francisco Rodriguez,México,1,0
2010,Cristiano Ronaldo,Portugal,1,0
2010,Georgios Samaras,Grecia,1,0
2010,Roque Santa Cruz,Paraguay,1,0
2010,Jonathan Santana,Paraguay,1,0
2010,Hans Sarpei,Ghana,1,0
2010,Bastian Schweinsteiger,Alemania,1,0
2010,Stanislav Sestak,Eslovaquia,1,0
2010,Martin Skrtel,Eslovaquia,1,0
2010,Tommy Smith,Nueva Zelanda,1,0
2010,Wesley Sneijder,Paises Bajos,1,0
2010,Thomas Sorensen,Dinamarca,1,0
2010,Maarten Stekelenburg,Paises Bajos,1,0
2010,Humberto Suazo,Chile,1,0
2010,David Suazo,Honduras,1,0
2010,Neven Subotic,Serbia,1,0
2010,Marko Suler,Eslovenia,1,0
2010,Prince Tagoe,Ghana,1,0
2010,Hendry Thomas,Honduras,1,0
2010,Vasileios Torosidis,Grecia,1,0
2010,Gerardo Torrado,México,1,0
2010,Danilo Turcios,Honduras,1,0
2010,Alexandros Tziolis,Grecia,1,0
2010,Jorge Valdivia,Chile,1,0
2010,Carl Valeri,Australia,1,0
2010,Rafael Van Der Vaart,Paises Bajos,1,0
2010,Enrique Vera,Paraguay,1,0
2010,Mauricio Victorino,Uruguay,1,0
2010,Arturo Vidal,Chile,1,0
2010,Nemanja Vidic,Serbia,1,0
2010,Robert Vittek,Eslovaquia,1,0
2010,Isaac Vorsah,Ghana,1,0
2010,Vladimir Weiss,Eslovaquia,1,0
2010,Luke Wilkshire,Australia,1,0
2010,Xavi,España,1,0
2010,Hakan Yakin,Suiza,1,0
2010,Ki Hun Yeom,Corea del Sur,1,0
2010,Reto Ziegler,Suiza,1,0
2010,Nikola Zigic,Serbia,1,0
2010,Didier Zokora,Costa de Marfil,1,0
