id_premio,anio,id_tipo_premio,id_jugador,id_seleccion
1,1930,4,5415,6
2,1934,4,537,86
3,1938,4,1690,11
4,1950,4,1519,11
5,1954,4,7552,42
6,1958,4,3915,36
7,1958,8,1759,11
8,1962,4,7490,42
9,1962,8,7490,42
10,1966,4,3228,65
11,1966,8,6051,87
12,1970,4,6223,87
13,1970,8,2147,63
14,1970,9,,63
15,1974,4,3110,64
16,1974,8,3187,64
17,1978,4,5290,6
18,1978,8,5563,51
19,1978,9,,6
20,1982,1,5752,51
21,1982,2,1623,11
22,1982,3,6265,87
23,1982,4,5752,51
24,1982,8,3822,36
25,1982,9,,11
26,1986,1,5307,6
27,1986,2,6276,87
28,1986,3,4208,26
29,1986,4,1325,44
30,1986,8,6690,13
31,1986,9,,11
32,1990,1,5758,51
33,1990,2,6212,87
34,1990,3,5307,6
35,1990,4,5758,51
36,1990,8,3705,85
37,1990,9,,44
38,1994,1,1791,11
39,1994,2,5533,51
40,1994,3,3001,12
41,1994,4,385,69
42,1994,7,6684,13
43,1994,8,6458,60
44,1994,9,,11
45,1998,1,1795,11
46,1998,2,3743,24
47,1998,3,4051,36
48,1998,4,3743,24
49,1998,7,3832,36
50,1998,8,1358,44
51,1998,9,,36
52,2002,1,6161,1
53,2002,2,1795,11
54,2002,3,6972,21
55,2002,4,1795,11
56,2002,7,6161,1
57,2002,8,2789,35
58,2002,9,,13
59,2006,1,4075,36
60,2006,2,5568,51
61,2006,3,5733,51
62,2006,4,6176,1
63,2006,5,5225,6
64,2006,6,1795,11
65,2006,7,5559,51
66,2006,8,6248,1
67,2006,9,,11
68,2010,1,5872,80
69,2010,2,6481,60
70,2010,3,5091,34
71,2010,4,6226,1
72,2010,5,5091,34
73,2010,6,6481,60
74,2010,7,4892,34
75,2010,8,6226,1
76,2010,9,,34
77,2014,1,5318,6
78,2014,2,6226,1
79,2014,3,6471,60
80,2014,4,2715,19
81,2014,5,6226,1
82,2014,6,1735,11
83,2014,7,6230,1
84,2014,8,4013,36
85,2014,9,,19
86,2018,1,1124,24
87,2018,2,6628,13
88,2018,3,3930,36
89,2018,4,1312,44
90,2018,5,3930,36
91,2018,6,6648,13
92,2018,7,6581,13
93,2018,8,3992,36
94,2018,9,,34
95,2022,1,5318,6
96,2022,2,3992,36
97,2022,3,1124,24
98,2022,4,3992,36
99,2022,5,5318,6
100,2022,6,3923,36
101,2022,7,5309,6
102,2022,8,5251,6
103,2022,9,,44
