id_goleador,anio,id_seleccion,id_jugador,goles,partidos,promedio
1,1930,6,5415,8,4,2.0
2,1930,80,5842,5,4,1.25
3,1930,35,2861,4,3,1.33
4,1930,80,5810,3,2,1.5
5,1930,85,3544,3,3,1.0
6,1930,6,5363,3,4,0.75
7,1930,11,1767,3,2,1.5
8,1930,80,5838,2,2,1.0
9,1930,80,5861,2,3,0.67
10,1930,80,5900,2,4,0.5
11,1930,36,3988,2,2,1.0
12,1930,11,1729,2,1,2.0
13,1930,6,5694,2,4,0.5
14,1930,56,7854,2,3,0.67
15,1930,17,766,2,3,0.67
16,1930,17,786,2,3,0.67
17,1930,6,5445,2,1,2.0
18,1930,35,2761,1,3,0.33
19,1930,56,7679,1,3,0.33
20,1930,68,1875,1,2,0.5
21,1930,6,5246,1,4,0.25
22,1930,35,2799,1,3,0.33
23,1930,56,7732,1,2,0.5
24,1930,68,1897,1,2,0.5
25,1930,36,3963,1,3,0.33
26,1930,36,3966,1,2,0.5
27,1930,85,3645,1,3,0.33
28,1930,35,2844,1,3,0.33
29,1930,80,5995,1,3,0.33
30,1930,6,5403,1,1,1.0
31,1930,85,3721,1,2,0.5
32,1930,63,2216,1,2,0.5
33,1930,68,1946,1,1,1.0
34,1930,85,3749,1,3,0.33
35,1930,6,5434,1,4,0.25
36,1930,62,4434,1,2,0.5
37,1930,85,3760,1,3,0.33
38,1934,86,537,5,4,1.25
39,1934,1,6077,4,4,1.0
40,1934,51,5757,4,4,1.0
41,1934,74,8129,3,2,1.5
42,1934,51,5713,3,5,0.6
43,1934,28,2084,2,1,2.0
44,1934,51,5627,2,4,0.5
45,1934,1,6146,2,2,1.0
46,1934,8,4586,2,2,1.0
47,1934,34,4949,2,2,1.0
48,1934,73,3424,2,2,1.0
49,1934,1,6198,2,4,0.5
50,1934,51,5689,2,5,0.4
51,1934,86,560,2,4,0.5
52,1934,86,585,2,3,0.67
53,1934,42,7618,2,2,1.0
54,1934,13,6753,2,1,2.0
55,1934,74,8033,1,2,0.5
56,1934,6,5184,1,1,1.0
57,1934,8,4552,1,4,0.25
58,1934,68,1877,1,1,1.0
59,1934,35,2788,1,1,1.0
60,1934,73,3372,1,2,0.5
61,1934,6,5260,1,1,1.0
62,1934,51,5653,1,4,0.25
63,1934,74,8125,1,1,1.0
64,1934,1,6178,1,3,0.33
65,1934,73,3438,1,2,0.5
66,1934,34,4964,1,2,0.5
67,1934,11,1690,1,1,1.0
68,1934,36,3998,1,1,1.0
69,1934,1,6234,1,1,1.0
70,1934,34,7836,1,2,0.5
71,1934,42,7596,1,1,1.0
72,1934,8,4639,1,2,0.5
73,1934,8,4646,1,4,0.25
74,1934,1,6283,1,4,0.25
75,1934,8,4647,1,3,0.33
76,1934,60,6480,1,1,1.0
77,1934,42,7615,1,1,1.0
78,1934,60,6526,1,1,1.0
79,1934,36,4067,1,1,1.0
80,1934,42,7631,1,1,1.0
81,1934,8,4669,1,4,0.25
82,1938,11,1690,7,4,1.75
83,1938,51,5732,5,4,1.25
84,1938,42,7596,5,4,1.25
85,1938,42,7634,5,4,1.25
86,1938,51,5591,4,3,1.33
87,1938,64,3178,4,1,4.0
88,1938,74,8033,3,3,1.0
89,1938,73,3432,3,2,1.5
90,1938,73,3480,3,3,1.0
91,1938,11,1761,3,4,0.75
92,1938,11,1792,3,4,0.75
93,1938,25,2431,3,3,1.0
94,1938,73,3532,3,2,1.5
95,1938,68,1877,2,2,1.0
96,1938,86,537,2,2,1.0
97,1938,36,3998,2,2,1.0
98,1938,73,3342,1,3,0.33
99,1938,68,1852,1,2,0.5
100,1938,74,8051,1,3,0.33
101,1938,68,1856,1,1,1.0
102,1938,58,7396,1,1,1.0
103,1938,25,2426,1,3,0.33
104,1938,51,5630,1,1,1.0
105,1938,1,6102,1,1,1.0
106,1938,1,6118,1,2,0.5
107,1938,36,3936,1,2,0.5
108,1938,13,6638,1,1,1.0
109,1938,73,3424,1,3,0.33
110,1938,42,7553,1,2,0.5
111,1938,86,503,1,3,0.33
112,1938,86,506,1,3,0.33
113,1938,25,2428,1,2,0.5
114,1938,51,5689,1,4,0.25
115,1938,11,5047,1,2,0.5
116,1938,42,7598,1,4,0.25
117,1938,64,3162,1,1,1.0
118,1938,42,7617,1,2,0.5
119,1938,42,7618,1,2,0.5
120,1938,36,4064,1,2,0.5
121,1938,74,8219,1,3,0.33
122,1938,86,597,1,1,1.0
123,1950,11,1519,9,6,1.5
124,1950,80,5927,5,4,1.25
125,1950,34,4875,4,6,0.67
126,1950,11,1582,4,4,1.0
127,1950,80,5881,4,4,1.0
128,1950,34,5099,4,6,0.67
129,1950,73,3488,3,5,0.6
130,1950,80,5996,3,4,0.75
131,1950,73,3514,3,5,0.6
132,1950,73,3349,2,5,0.4
133,1950,11,1546,2,2,1.0
134,1950,85,3554,2,3,0.67
135,1950,51,5572,2,2,1.0
136,1950,17,656,2,3,0.67
137,1950,74,8087,2,3,0.67
138,1950,34,4947,2,5,0.4
139,1950,11,1660,2,5,0.4
140,1950,73,3419,2,4,0.5
141,1950,85,3750,2,3,0.67
142,1950,11,1846,2,4,0.5
143,1950,11,1528,1,1,1.0
144,1950,74,8042,1,2,0.5
145,1950,74,8043,1,3,0.33
146,1950,85,3546,1,3,0.33
147,1950,56,7681,1,3,0.33
148,1950,11,1635,1,4,0.25
149,1950,35,2801,1,3,0.33
150,1950,62,4385,1,2,0.5
151,1950,62,4387,1,2,0.5
152,1950,35,2838,1,3,0.33
153,1950,11,1704,1,4,0.25
154,1950,44,1331,1,2,0.5
155,1950,73,3462,1,2,0.5
156,1950,85,3665,1,3,0.33
157,1950,44,1348,1,3,0.33
158,1950,51,5702,1,2,0.5
159,1950,85,3679,1,1,1.0
160,1950,56,7812,1,3,0.33
161,1950,51,5717,1,1,1.0
162,1950,35,2860,1,3,0.33
163,1950,80,5960,1,4,0.25
164,1950,17,731,1,2,0.5
165,1950,17,741,1,1,1.0
166,1950,17,744,1,3,0.33
167,1950,80,6025,1,4,0.25
168,1950,80,6029,1,3,0.33
169,1950,35,2896,1,3,0.33
170,1954,42,7552,11,5,2.2
171,1954,74,8118,6,3,2.0
172,1954,87,6220,6,5,1.2
173,1954,8,4628,6,5,1.2
174,1954,74,8046,4,4,1.0
175,1954,80,5821,4,5,0.8
176,1954,42,7538,4,4,1.0
177,1954,42,7587,4,3,1.33
178,1954,87,6251,4,4,1.0
179,1954,87,6269,4,5,0.8
180,1954,87,6312,4,5,0.8
181,1954,13,6545,3,2,1.5
182,1954,77,5455,3,2,1.5
183,1954,42,7513,3,5,0.6
184,1954,80,5899,3,2,1.5
185,1954,44,1327,3,2,1.5
186,1954,80,5927,3,3,1.0
187,1954,8,4650,3,4,0.75
188,1954,77,5486,3,2,1.5
189,1954,8,4662,3,4,0.75
190,1954,87,6311,3,6,0.5
191,1954,80,5799,2,4,0.5
192,1954,44,1223,2,3,0.67
193,1954,11,1596,2,3,0.67
194,1954,11,1674,2,3,0.67
195,1954,8,4594,2,5,0.4
196,1954,77,5472,2,3,0.67
197,1954,42,7561,2,5,0.4
198,1954,8,4615,2,5,0.4
199,1954,42,7582,2,2,1.0
200,1954,11,1763,2,2,1.0
201,1954,80,5996,2,5,0.4
202,1954,80,5807,1,4,0.25
203,1954,56,7653,1,2,0.5
204,1954,11,1546,1,2,0.5
205,1954,51,5554,1,1,1.0
206,1954,13,6580,1,2,0.5
207,1954,11,1599,1,3,0.33
208,1954,77,5463,1,3,0.33
209,1954,74,8087,1,4,0.25
210,1954,44,1271,1,3,0.33
211,1954,51,5635,1,2,0.5
212,1954,51,5639,1,2,0.5
213,1954,87,6134,1,1,1.0
214,1954,77,5470,1,3,0.33
215,1954,87,6175,1,2,0.5
216,1954,36,3954,1,2,0.5
217,1954,56,7763,1,2,0.5
218,1954,51,5667,1,3,0.33
219,1954,85,3663,1,3,0.33
220,1954,44,1350,1,1,1.0
221,1954,51,5707,1,3,0.33
222,1954,51,5717,1,3,0.33
223,1954,87,6245,1,1,1.0
224,1954,42,7622,1,2,0.5
225,1954,80,6025,1,3,0.33
226,1954,36,4070,1,2,0.5
227,1954,44,1428,1,2,0.5
228,1954,85,3767,1,3,0.33
229,1958,36,3915,13,6,2.17
230,1958,11,1759,6,4,1.5
231,1958,87,6251,6,6,1.0
232,1958,47,2261,5,5,1.0
233,1958,11,1820,5,4,1.25
234,1958,73,3402,4,5,0.8
235,1958,73,3508,4,5,0.8
236,1958,42,7616,4,4,1.0
237,1958,86,599,4,3,1.33
238,1958,6,5223,3,3,1.0
239,1958,36,3954,3,6,0.5
240,1958,36,4007,3,5,0.6
241,1958,87,6269,3,6,0.5
242,1958,85,3756,3,4,0.75
243,1958,62,4297,2,3,0.67
244,1958,37,2526,2,5,0.4
245,1958,11,5519,2,3,0.67
246,1958,62,4306,2,3,0.67
247,1958,86,460,2,4,0.5
248,1958,86,478,2,3,0.67
249,1958,88,307,2,5,0.4
250,1958,44,1315,2,4,0.5
251,1958,73,3445,2,5,0.4
252,1958,62,4405,2,3,0.67
253,1958,85,3694,2,4,0.5
254,1958,62,4415,2,3,0.67
255,1958,87,6281,2,5,0.4
256,1958,36,4072,2,6,0.33
257,1958,6,5168,1,2,0.5
258,1958,31,2285,1,1,1.0
259,1958,56,7657,1,2,0.5
260,1958,42,7495,1,2,0.5
261,1958,42,7503,1,3,0.33
262,1958,37,2535,1,4,0.25
263,1958,87,6076,1,2,0.5
264,1958,31,2304,1,3,0.33
265,1958,47,2239,1,5,0.2
266,1958,11,1596,1,6,0.17
267,1958,36,3906,1,1,1.0
268,1958,86,461,1,3,0.33
269,1958,44,1271,1,1,1.0
270,1958,73,3394,1,5,0.2
271,1958,44,1290,1,4,0.25
272,1958,88,310,1,5,0.2
273,1958,88,309,1,4,0.25
274,1958,8,4593,1,3,0.33
275,1958,8,4596,1,3,0.33
276,1958,37,2556,1,4,0.25
277,1958,6,5316,1,3,0.33
278,1958,31,2391,1,3,0.33
279,1958,31,2392,1,2,0.5
280,1958,11,1739,1,6,0.17
281,1958,85,3680,1,2,0.5
282,1958,85,3712,1,4,0.25
283,1958,62,4408,1,3,0.33
284,1958,42,7594,1,3,0.33
285,1958,88,401,1,5,0.2
286,1958,73,3511,1,6,0.17
287,1958,36,4070,1,6,0.17
288,1958,11,1833,1,6,0.17
289,1962,42,7490,4,3,1.33
290,1962,11,1637,4,6,0.67
