id_posicion_final,anio,posicion,id_seleccion
1,1930,1,80
2,1930,2,6
3,1930,3,35
4,1930,4,85
5,1930,5,17
6,1930,6,11
7,1930,7,36
8,1930,8,68
9,1930,9,62
10,1930,10,63
11,1930,11,13
12,1930,12,9
13,1930,13,56
14,1934,1,51
15,1934,2,86
16,1934,3,1
17,1934,4,8
18,1934,5,34
19,1934,6,42
20,1934,7,74
21,1934,8,73
22,1934,9.1,6
23,1934,9.2,36
24,1934,9.3,60
25,1934,12,68
26,1934,13,28
27,1934,14,11
28,1934,15,13
29,1934,16,35
30,1938,1,51
31,1938,2,42
32,1938,3,11
33,1938,4,73
34,1938,5,86
35,1938,6,74
36,1938,7,25
37,1938,8,36
38,1938,9,68
39,1938,10,1
40,1938,11,64
41,1938,12,58
42,1938,13,13
43,1938,14,60
44,1938,15,43
45,1938,16,8
46,1950,1,80
47,1950,2,11
48,1950,3,73
49,1950,4,34
50,1950,5,85
51,1950,6,74
52,1950,7,51
53,1950,8,44
54,1950,9,17
55,1950,10,35
56,1950,11,62
57,1950,12,56
58,1950,13,9
59,1954,1,87
60,1954,2,42
61,1954,3,8
62,1954,4,80
63,1954,5,74
64,1954,6,11
65,1954,7,44
66,1954,8,85
67,1954,9,36
68,1954,10,51
69,1954,11,77
70,1954,12,13
71,1954,13,56
72,1954,14,86
73,1954,15,31
74,1954,16,21
75,1958,1,11
76,1958,2,73
77,1958,3,36
78,1958,4,87
79,1958,5,37
80,1958,6,88
81,1958,7,47
82,1958,8,85
83,1958,9,86
84,1958,10,42
85,1958,11,44
86,1958,12,62
87,1958,13,6
88,1958,14,31
89,1958,15,8
90,1958,16,56
91,1962,1,11
92,1962,2,86
93,1962,3,17
94,1962,4,85
95,1962,5,42
96,1962,6,88
97,1962,7,87
98,1962,8,44
99,1962,9,51
100,1962,10,6
101,1962,11,56
102,1962,12,34
103,1962,13,80
104,1962,14,19
105,1962,15,12
106,1962,16,74
107,1966,1,44
108,1966,2,87
109,1966,3,65
110,1966,4,88
111,1966,5,6
112,1966,6,42
113,1966,7,80
114,1966,8,20
115,1966,9,51
116,1966,10,34
117,1966,11,11
118,1966,12,56
119,1966,13.1,17
120,1966,13.2,36
121,1966,15,12
122,1966,16,74
123,1970,1,11
124,1970,2,51
125,1970,3,87
126,1970,4,80
127,1970,5,88
128,1970,6,56
129,1970,7,63
130,1970,8,44
131,1970,9,73
132,1970,10.1,13
133,1970,10.2,68
134,1970,12,50
135,1970,13,12
136,1970,14,55
137,1970,15,86
138,1970,16,29
139,1974,1,87
140,1974,2,60
141,1974,3,64
142,1974,4,11
143,1974,5,73
144,1974,6,2
145,1974,7,85
146,1974,8,6
147,1974,9,31
148,1974,10,51
149,1974,11,17
150,1974,12,12
151,1974,13,80
152,1974,14,7
153,1974,15,40
154,1974,16,66
155,1978,1,6
156,1978,2,60
157,1978,3,11
158,1978,4,51
159,1978,5,64
160,1978,6,87
161,1978,7,8
162,1978,8,63
163,1978,9,78
164,1978,10,34
165,1978,11,31
166,1978,12,36
167,1978,13,73
168,1978,14,48
169,1978,15,42
170,1978,16,56
171,1982,1,51
172,1982,2,87
173,1982,3,64
174,1982,4,36
175,1982,5,11
176,1982,6,44
177,1982,7,88
178,1982,8,8
179,1982,9,47
180,1982,10,13
181,1982,11,6
182,1982,12,34
183,1982,13,5
184,1982,14,42
185,1982,15,31
186,1982,16,85
187,1982,17,14
188,1982,18,41
189,1982,19,86
190,1982,20,63
191,1982,21,54
192,1982,22,17
193,1982,23,59
194,1982,24,29
195,1986,1,6
196,1986,2,87
197,1986,3,36
198,1986,4,13
199,1986,5,11
200,1986,6,56
201,1986,7,34
202,1986,8,44
203,1986,9,26
204,1986,10,88
205,1986,11,55
206,1986,12,51
207,1986,13,62
208,1986,14,64
209,1986,15,12
210,1986,16,80
211,1986,17,65
212,1986,18,42
213,1986,19,31
214,1986,20,21
215,1986,21,47
216,1986,22,5
217,1986,23,45
218,1986,24,15
219,1990,1,87
220,1990,2,6
221,1990,3,51
222,1990,4,44
223,1990,5,85
224,1990,6,86
225,1990,7,14
226,1990,8,46
227,1990,9,11
228,1990,10,34
229,1990,11,13
230,1990,12,68
231,1990,13,22
232,1990,14,19
233,1990,15,60
234,1990,16,80
235,1990,17,88
236,1990,18.1,8
237,1990,18.2,31
238,1990,20,28
239,1990,21,73
240,1990,22,21
241,1990,23,35
242,1990,24,30
243,1994,1,11
244,1994,2,51
245,1994,3,73
246,1994,4,12
247,1994,5,1
248,1994,6,68
249,1994,7,60
250,1994,8,34
251,1994,9,57
252,1994,10,6
253,1994,11,13
254,1994,12,4
255,1994,13,56
256,1994,14,35
257,1994,15,74
258,1994,16,46
259,1994,17,58
260,1994,18,69
261,1994,19,19
262,1994,20,21
263,1994,21,9
264,1994,22,14
265,1994,23,55
266,1994,24,39
267,1998,1,36
268,1998,2,11
269,1998,3,24
270,1998,4,60
271,1998,5,51
272,1998,6,6
273,1998,7,1
274,1998,8,26
275,1998,9,44
276,1998,10,85
277,1998,11,68
278,1998,12,57
279,1998,13,56
280,1998,14,62
281,1998,15,58
282,1998,16,17
283,1998,17,34
284,1998,18,55
285,1998,19,13
286,1998,20,48
287,1998,21,19
288,1998,22,52
289,1998,23,8
290,1998,24,72
291,1998,25,14
292,1998,26,78
293,1998,27,31
294,1998,28,4
295,1998,29,12
296,1998,30,21
297,1998,31,53
298,1998,32,35
299,2002,1,11
300,2002,2,1
301,2002,3,77
302,2002,4,21
303,2002,5,34
304,2002,6,44
305,2002,7,70
306,2002,8,35
307,2002,9,53
308,2002,10,26
309,2002,11,56
310,2002,12,46
311,2002,13,73
312,2002,14,13
313,2002,15,51
314,2002,16,62
315,2002,17,72
316,2002,18,6
317,2002,19,22
318,2002,20,14
319,2002,21,65
320,2002,22,69
321,2002,23,24
322,2002,24,27
323,2002,25,64
324,2002,26,80
325,2002,27,57
326,2002,28,36
327,2002,29,78
328,2002,30,33
329,2002,31,18
330,2002,32,4
331,2006,1,51
332,2006,2,36
333,2006,3,1
334,2006,4,65
335,2006,5,11
336,2006,6,6
337,2006,7,44
338,2006,8,79
339,2006,9,34
340,2006,10,74
341,2006,11,60
342,2006,12,27
343,2006,13,38
344,2006,14,73
345,2006,15,56
346,2006,16,7
347,2006,17,21
348,2006,18,62
349,2006,19,23
350,2006,20,67
351,2006,21,64
352,2006,22,24
353,2006,23,3
354,2006,24,78
355,2006,25,35
356,2006,26,48
357,2006,27,76
358,2006,28,4
359,2006,29,53
360,2006,30,75
361,2006,31,22
362,2006,32,71
363,2010,1,34
364,2010,2,60
365,2010,3,1
366,2010,4,80
367,2010,5,6
368,2010,6,11
369,2010,7,38
370,2010,8,62
371,2010,9,53
372,2010,10,17
373,2010,11,65
374,2010,12,35
375,2010,13,44
376,2010,14,56
377,2010,15,21
378,2010,16,32
379,2010,17,23
380,2010,18,33
381,2010,19,74
382,2010,20,72
383,2010,21,7
384,2010,22,59
385,2010,23,71
386,2010,24,26
387,2010,25,39
388,2010,26,51
389,2010,27,57
390,2010,28,5
391,2010,29,36
392,2010,30,41
393,2010,31,14
394,2010,32,20
395,2014,1,1
396,2014,2,6
397,2014,3,60
398,2014,4,11
399,2014,5,19
400,2014,6,13
401,2014,7,36
402,2014,8,22
403,2014,9,17
404,2014,10,56
405,2014,11,74
406,2014,12,80
407,2014,13,39
408,2014,14,5
409,2014,15,35
410,2014,16,57
411,2014,17,27
412,2014,18,65
413,2014,19,24
414,2014,20,10
415,2014,21,23
416,2014,22,51
417,2014,23,34
418,2014,24,69
419,2014,25,38
420,2014,26,44
421,2014,27,21
422,2014,28,48
423,2014,29,53
424,2014,30,7
425,2014,31,41
426,2014,32,14
427,2018,1,36
428,2018,2,24
429,2018,3,13
430,2018,4,44
431,2018,5,80
432,2018,6,11
433,2018,7,73
434,2018,8,69
435,2018,9,19
