id_jugador,nombre,anio,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
5113,Aaron Clapham,2010,16,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,22
7272,Aaron Lawrence,1998,13,Arquero,1,1,0,2,0,0.0,0,0,1,0,0,22
1324,Aaron Lennon,2006,19,Mediocampista,3,0,0,2,0,0.0,0,0,2,1,0,7
1324,Aaron Lennon,2010,7,Mediocampista,2,2,0,2,0,0.0,0,0,0,2,0,13
2836,Aaron Long,2022,15,Defensor,0,0,0,4,0,0.0,0,0,0,0,0,14
8267,Aaron Mokoena,2002,4,Defensor,3,3,0,0,0,0.0,2,0,1,1,1,17
8267,Aaron Mokoena,2010,4,Defensor,3,3,3,0,0,0.0,0,0,1,1,1,20
7347,Aaron Mooy,2018,13,Mediocampista,3,3,0,0,0,0.0,0,0,0,1,2,30
7347,Aaron Mooy,2022,13,Mediocampista,4,4,0,0,0,0.0,1,0,2,0,2,11
7814,Aaron Padilla,1966,8,Delantero,3,3,0,0,0,0.0,0,0,0,2,1,12
7814,Aaron Padilla,1970,11,Delantero,3,3,0,1,0,0.0,0,0,2,0,1,6
1371,Aaron Ramsdale,2022,23,Arquero,0,0,0,5,0,0.0,0,0,0,0,0,6
2560,Aaron Ramsey,2022,10,Mediocampista,3,3,0,0,0,0.0,1,0,0,1,2,30
8379,Abdallah Lamrani,1970,2,Defensor,2,2,0,1,0,0.0,0,0,0,0,2,14
8399,Abdallah Said,2018,19,Mediocampista,3,3,0,0,0,0.0,0,0,0,0,3,31
8358,Abdé Ezzalzouli,2022,16,Delantero,3,0,0,4,0,0.0,0,0,0,2,1,4
8404,Abdel Aziz Soulaymani,1986,21,Mediocampista,3,0,0,1,0,0.0,0,0,1,2,0,11
3840,Abdel Kader Ben Bouali,1938,-,Defensor,0,0,0,2,0,0.0,0,0,0,0,0,8
2114,Abdel Sharli,1934,-,Defensor,1,1,0,0,0,0.0,0,0,0,0,1,13
3841,Abdelaziz Ben-Tifour,1954,15,Mediocampista,1,1,0,1,0,0.0,0,0,1,0,0,9
6344,Abdelaziz Hatem,2022,6,Mediocampista,3,2,0,0,0,0.0,0,0,0,0,3,32
8369,Abdelfettah Houdani,1986,22,Arquero,0,0,0,4,0,0.0,0,0,0,0,0,11
8393,Abdelfettah Rhiati,1986,13,Delantero,0,0,0,4,0,0.0,0,0,0,0,0,11
8397,Abdelhamid Sabiri,2022,11,Delantero,5,2,0,2,0,0.0,1,0,2,2,1,4
6889,Abdelhamid Sadmi,1986,15,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,22
8396,Abdelilah Saber,1998,2,Defensor,3,3,0,0,0,0.0,0,0,1,1,1,18
8363,Abdeljalil Hadda,1998,9,Delantero,3,3,0,0,2,0.67,1,0,1,1,1,18
8343,Abdelkader El Brazi,1998,1,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,18
8355,Abdelkader El Khyati,1970,18,Defensor,1,0,0,2,0,0.0,0,0,0,0,1,14
6859,Abdelkader Ghezzal,2010,9,Delantero,2,0,0,1,0,0.0,0,1,0,0,2,28
6866,Abdelkader Horr,1982,17,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,13
6872,Abdelkader Laifaoui,2010,14,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,28
8349,Abdelkarim El Hadrioui,1994,3,Defensor,3,3,0,0,0,0.0,1,0,0,0,3,23
8349,Abdelkarim El Hadrioui,1998,3,Defensor,2,2,0,1,0,0.0,0,0,0,1,1,18
6343,Abdelkarim Hassan,2022,3,Mediocampista,3,3,0,0,0,0.0,0,0,0,0,3,32
8377,Abdelkarim Krimau,1986,9,Delantero,4,4,0,0,1,0.25,0,0,1,2,1,11
8316,Abdellah Bidar,1986,20,Defensor,0,0,0,4,0,0.0,0,0,0,0,0,11
