id_jugador,nombre,id_seleccion,seleccion,altura,fecha_nacimiento,nacionalidad
5113,Aaron Clapham,59,Nueva Zelanda,1.72 m,15 de enero de 1987,Nueva Zelanda
7272,Aaron Lawrence,52,Jamaica,,11 de agosto de 1970,Jamaica
1324,Aaron Lennon,44,Inglaterra,1.65 m,16 de abril de 1987,Inglaterra
2836,Aaron Long,35,Estados Unidos,1.88 m,12 de octubre de 1992,Estados Unidos
8267,Aaron Mokoena,72,Sudáfrica,1.83 m,25 de noviembre de 1980,Sudáfrica
7347,Aaron Mooy,7,Australia,1.74 m,15 de septiembre de 1990,Australia
7814,Aaron Padilla,56,México,,10 de julio de 1942,México
1371,Aaron Ramsdale,44,Inglaterra,1.88 m,14 de mayo de 1998,Inglaterra
2560,Aaron Ramsey,37,Gales,1.78 m,26 de diciembre de 1990,Gales
8379,Abdallah Lamrani,55,Marruecos,,1 de enero de 1946,Marruecos
8399,Abdallah Said,55,Marruecos,1.75 m,13 de julio de 1985,Marruecos
8358,Abdé Ezzalzouli,55,Marruecos,1.77 m,17 de diciembre de 2001,Marruecos
8404,Abdel Aziz Soulaymani,55,Marruecos,,30 de abril de 1958,Marruecos
3840,Abdel Kader Ben Bouali,36,Francia,,25 de octubre de 1912,Francia
2114,Abdel Sharli,28,Egipto,,,Egipto
3841,Abdelaziz Ben-Tifour,36,Francia,,25 de julio de 1927,Francia
6344,Abdelaziz Hatem,16,Catar,1.82 m,1 de enero de 1990,Catar
8369,Abdelfettah Houdani,55,Marruecos,,30 de julio de 1956,Marruecos
8393,Abdelfettah Rhiati,55,Marruecos,,25 de febrero de 1963,Marruecos
8397,Abdelhamid Sabiri,55,Marruecos,1.86 m,28 de noviembre de 1996,Marruecos
6889,Abdelhamid Sadmi,5,Argelia,,1 de enero de 1961,Argelia
8396,Abdelilah Saber,55,Marruecos,,21 de abril de 1974,Marruecos
8363,Abdeljalil Hadda,55,Marruecos,,21 de marzo de 1972,Marruecos
8343,Abdelkader El Brazi,55,Marruecos,,5 de noviembre de 1964,Marruecos
8355,Abdelkader El Khyati,55,Marruecos,,1 de enero de 1945,Marruecos
6859,Abdelkader Ghezzal,5,Argelia,1.86 m,5 de diciembre de 1984,Argelia
6866,Abdelkader Horr,5,Argelia,,10 de noviembre de 1953,Argelia
6872,Abdelkader Laifaoui,5,Argelia,1.77 m,29 de julio de 1981,Argelia
8349,Abdelkarim El Hadrioui,55,Marruecos,,6 de marzo de 1972,Marruecos
6343,Abdelkarim Hassan,16,Catar,1.85 m,28 de agosto de 1993,Catar
8377,Abdelkarim Krimau,55,Marruecos,,13 de enero de 1955,Marruecos
8316,Abdellah Bidar,55,Marruecos,,19 de agosto de 1967,Marruecos
6882,Abdellah Medjadi,5,Argelia,,1 de diciembre de 1957,Argelia
8392,Abdellah Ouriaghli,55,Marruecos,,1 de enero de 1943,Marruecos
6844,Abdelmajid Bourebbou,5,Argelia,,16 de marzo de 1951,Argelia
8324,Abdelmajid Bouyboud,55,Marruecos,,24 de octubre de 1966,Marruecos
8338,Abdelmajid Dolmy,55,Marruecos,,19 de abril de 1953,Marruecos
8380,Abdelmajid Lamriss,55,Marruecos,,12 de febrero de 1959,Marruecos
6852,Abdelmoumene Djabou,5,Argelia,1.65 m,31 de enero de 1987,Argelia
8375,Abdelrazzak Khairi,55,Marruecos,,20 de noviembre de 1962,Marruecos
8378,Abdelslam Laghrissi,55,Marruecos,,5 de enero de 1962,Marruecos
8389,Abderrahim Ouakili,55,Marruecos,,11 de diciembre de 1970,Marruecos
8365,Abderrazak Hamdallah,55,Marruecos,1.79 m,17 de diciembre de 1990,Marruecos
3979,Abderrhamane Mahjoub,36,Francia,,25 de abril de 1929,Francia
8412,Abdiel Arroyo,61,Panamá,1.87 m,13 de diciembre de 1993,Panamá
1022,Abdou Diallo,70,Senegal,1.87 m,4 de mayo de 1996,Senegal
1023,Abdoulaye Diallo,70,Senegal,1.89 m,30 de marzo de 1992,Senegal
6792,Abdoulaye Meite,23,Costa de Marfil,1.85 m,6 de octubre de 1980,Costa de Marfil
1477,Abdul Fatawu Issahaku,38,Ghana,1.77 m,8 de marzo de 2004,Ghana
1170,Abdul-Rahim,45,Iraq,,23 de mayo de 1963,Iraq
1501,Baba Rahman,38,Ghana,1.80 m,2 de julio de 1994,Ghana
7900,Abdulaziz Al Anbari,54,Kuwait,,3 de enero de 1954,Kuwait
7901,Abdulaziz Al Balushi,54,Kuwait,,16 de febrero de 1960,Kuwait
4770,Abdulaziz Al Janoubi,4,Arabia Saudita,1.76 m,21 de julio de 1974,Arabia Saudita
4832,Abdulaziz Khathran,4,Arabia Saudita,1.69 m,31 de julio de 1973,Arabia Saudita
7944,Abdulaziz Mohamed,30,Emiratos Arabes,,12 de diciembre de 1965,Emiratos Arabes
7917,Abdulaziz Mohammed,54,Kuwait,,4 de diciembre de 1962,Kuwait
4791,Abdulelah Al-Amri,4,Arabia Saudita,1.85 m,15 de enero de 1997,Arabia Saudita
4805,Abdulelah Al-Malki,4,Arabia Saudita,1.76 m,11 de octubre de 1994,Arabia Saudita
4757,Abdullah Al Dosari,4,Arabia Saudita,,1 de noviembre de 1969,Arabia Saudita
4803,Abdullah Al-Khaibari,4,Arabia Saudita,,16 de agosto de 1996,Arabia Saudita
4806,Abdullah Al-Mayouf,4,Arabia Saudita,1.88 m,23 de enero de 1987,Arabia Saudita
4780,Abdullah Alwaked Al Shahrani,4,Arabia Saudita,1.78 m,29 de septiembre de 1975,Arabia Saudita
5461,Abdullah Ercan,77,Turquía,1.82 m,8 de diciembre de 1971,Turquía
4758,Abdullah Gaman Al Dosari,4,Arabia Saudita,1.83 m,10 de noviembre de 1977,Arabia Saudita
4835,Abdullah Madu,4,Arabia Saudita,1.87 m,15 de julio de 1993,Arabia Saudita
7916,Abdullah Mayuf,54,Kuwait,,3 de diciembre de 1953,Kuwait
7946,Abdullah Musa,30,Emiratos Arabes,,2 de marzo de 1958,Emiratos Arabes
4838,Abdullah Otayf,4,Arabia Saudita,1.77 m,3 de agosto de 1992,Arabia Saudita
7963,Abdullah Sultan,30,Emiratos Arabes,,1 de octubre de 1963,Emiratos Arabes
4844,Abdullah Zubromawi,4,Arabia Saudita,1.81 m,15 de noviembre de 1973,Arabia Saudita
4804,Abdulmalek Al-Khaibri,4,Arabia Saudita,1.75 m,13 de marzo de 1986,Arabia Saudita
