anio,posicion,jugador,seleccion
1974,Arquero,Sepp Maier,Alemania Occidental
1974,Defensores,Franz Beckenbauer,Alemania Occidental
1974,Defensores,Paul Breitner,Alemania Occidental
1974,Defensores,Ruud Krol,Paises Bajos
1974,Defensores,Berti Vogts,Alemania Occidental
1974,Mediocampistas,Kazimierz Deyna,Polonia
1974,Mediocampistas,Johan Neeskens,Paises Bajos
1974,Mediocampistas,Wolfgang Overath,Alemania Occidental
1974,Delanteros,Johan Cruyff,Paises Bajos
1974,Delanteros,Grzegorz Lato,Polonia
1974,Delanteros,Rob Rensenbrink,Paises Bajos
