anio,id_partido_str,num_partido,num_partido_seq,fuente,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2010,2010_gA_1,1,1,grupo_A,11-Jun-2010,Grupo A,Sudáfrica,México,1,1,NO,NO,,
2010,2010_gA_2,2,2,grupo_A,11-Jun-2010,Grupo A,Uruguay,Francia,0,0,NO,NO,,
2010,2010_gA_3,3,3,grupo_A,16-Jun-2010,Grupo A,Sudáfrica,Uruguay,0,3,NO,NO,,
2010,2010_gA_4,4,4,grupo_A,17-Jun-2010,Grupo A,Francia,México,0,2,NO,NO,,
2010,2010_gA_5,5,5,grupo_A,22-Jun-2010,Grupo A,México,Uruguay,0,1,NO,NO,,
2010,2010_gA_6,6,6,grupo_A,22-Jun-2010,Grupo A,Francia,Sudáfrica,1,2,NO,NO,,
2010,2010_gB_1,1,7,grupo_B,12-Jun-2010,Grupo B,Argentina,Nigeria,1,0,NO,NO,,
2010,2010_gB_2,2,8,grupo_B,12-Jun-2010,Grupo B,Corea del Sur,Grecia,2,0,NO,NO,,
2010,2010_gB_3,3,9,grupo_B,17-Jun-2010,Grupo B,Grecia,Nigeria,2,1,NO,NO,,
2010,2010_gB_4,4,10,grupo_B,17-Jun-2010,Grupo B,Argentina,Corea del Sur,4,1,NO,NO,,
2010,2010_gB_5,5,11,grupo_B,22-Jun-2010,Grupo B,Nigeria,Corea del Sur,2,2,NO,NO,,
2010,2010_gB_6,6,12,grupo_B,22-Jun-2010,Grupo B,Grecia,Argentina,0,2,NO,NO,,
2010,2010_gC_1,1,13,grupo_C,12-Jun-2010,Grupo C,Inglaterra,Estados Unidos,1,1,NO,NO,,
2010,2010_gC_2,2,14,grupo_C,13-Jun-2010,Grupo C,Argelia,Eslovenia,0,1,NO,NO,,
2010,2010_gC_3,3,15,grupo_C,18-Jun-2010,Grupo C,Eslovenia,Estados Unidos,2,2,NO,NO,,
2010,2010_gC_4,4,16,grupo_C,18-Jun-2010,Grupo C,Inglaterra,Argelia,0,0,NO,NO,,
2010,2010_gC_5,5,17,grupo_C,23-Jun-2010,Grupo C,Eslovenia,Inglaterra,0,1,NO,NO,,
2010,2010_gC_6,6,18,grupo_C,23-Jun-2010,Grupo C,Estados Unidos,Argelia,1,0,NO,NO,,
2010,2010_gD_1,1,19,grupo_D,13-Jun-2010,Grupo D,Alemania,Australia,4,0,NO,NO,,
2010,2010_gD_2,2,20,grupo_D,13-Jun-2010,Grupo D,Serbia,Ghana,0,1,NO,NO,,
2010,2010_gD_3,3,21,grupo_D,18-Jun-2010,Grupo D,Alemania,Serbia,0,1,NO,NO,,
2010,2010_gD_4,4,22,grupo_D,19-Jun-2010,Grupo D,Ghana,Australia,1,1,NO,NO,,
2010,2010_gD_5,5,23,grupo_D,23-Jun-2010,Grupo D,Ghana,Alemania,0,1,NO,NO,,
2010,2010_gD_6,6,24,grupo_D,23-Jun-2010,Grupo D,Australia,Serbia,2,1,NO,NO,,
2010,2010_gE_1,1,25,grupo_E,14-Jun-2010,Grupo E,Paises Bajos,Dinamarca,2,0,NO,NO,,
2010,2010_gE_2,2,26,grupo_E,14-Jun-2010,Grupo E,Japón,Camerún,1,0,NO,NO,,
2010,2010_gE_3,3,27,grupo_E,19-Jun-2010,Grupo E,Paises Bajos,Japón,1,0,NO,NO,,
2010,2010_gE_4,4,28,grupo_E,19-Jun-2010,Grupo E,Camerún,Dinamarca,1,2,NO,NO,,
2010,2010_gE_5,5,29,grupo_E,24-Jun-2010,Grupo E,Dinamarca,Japón,1,3,NO,NO,,
2010,2010_gE_6,6,30,grupo_E,24-Jun-2010,Grupo E,Camerún,Paises Bajos,1,2,NO,NO,,
2010,2010_gF_1,1,31,grupo_F,14-Jun-2010,Grupo F,Italia,Paraguay,1,1,NO,NO,,
2010,2010_gF_2,2,32,grupo_F,15-Jun-2010,Grupo F,Nueva Zelanda,Eslovaquia,1,1,NO,NO,,
2010,2010_gF_3,3,33,grupo_F,20-Jun-2010,Grupo F,Eslovaquia,Paraguay,0,2,NO,NO,,
2010,2010_gF_4,4,34,grupo_F,20-Jun-2010,Grupo F,Italia,Nueva Zelanda,1,1,NO,NO,,
2010,2010_gF_5,5,35,grupo_F,24-Jun-2010,Grupo F,Eslovaquia,Italia,3,2,NO,NO,,
2010,2010_gF_6,6,36,grupo_F,24-Jun-2010,Grupo F,Paraguay,Nueva Zelanda,0,0,NO,NO,,
2010,2010_gG_1,1,37,grupo_G,15-Jun-2010,Grupo G,Costa de Marfil,Portugal,0,0,NO,NO,,
2010,2010_gG_2,2,38,grupo_G,15-Jun-2010,Grupo G,Brasil,Corea del Norte,2,1,NO,NO,,
2010,2010_gG_3,3,39,grupo_G,20-Jun-2010,Grupo G,Brasil,Costa de Marfil,3,1,NO,NO,,
2010,2010_gG_4,4,40,grupo_G,21-Jun-2010,Grupo G,Portugal,Corea del Norte,7,0,NO,NO,,
2010,2010_gG_5,5,41,grupo_G,25-Jun-2010,Grupo G,Portugal,Brasil,0,0,NO,NO,,
2010,2010_gG_6,6,42,grupo_G,25-Jun-2010,Grupo G,Corea del Norte,Costa de Marfil,0,3,NO,NO,,
2010,2010_gH_1,1,43,grupo_H,16-Jun-2010,Grupo H,Honduras,Chile,0,1,NO,NO,,
2010,2010_gH_2,2,44,grupo_H,16-Jun-2010,Grupo H,España,Suiza,0,1,NO,NO,,
2010,2010_gH_3,3,45,grupo_H,21-Jun-2010,Grupo H,Chile,Suiza,1,0,NO,NO,,
2010,2010_gH_4,4,46,grupo_H,21-Jun-2010,Grupo H,España,Honduras,2,0,NO,NO,,
2010,2010_gH_5,5,47,grupo_H,25-Jun-2010,Grupo H,Chile,España,1,2,NO,NO,,
2010,2010_gH_6,6,48,grupo_H,25-Jun-2010,Grupo H,Suiza,Honduras,0,0,NO,NO,,
2010,2010_r_1,1,49,resultados,11-Jun-2010,"1ra Ronda, Grupo A",Sudáfrica,México,1,1,NO,NO,,
2010,2010_r_2,2,50,resultados,11-Jun-2010,"1ra Ronda, Grupo A",Uruguay,Francia,0,0,NO,NO,,
2010,2010_r_3,3,51,resultados,12-Jun-2010,"1ra Ronda, Grupo B",Argentina,Nigeria,1,0,NO,NO,,
2010,2010_r_4,4,52,resultados,12-Jun-2010,"1ra Ronda, Grupo B",Corea del Sur,Grecia,2,0,NO,NO,,
2010,2010_r_5,5,53,resultados,12-Jun-2010,"1ra Ronda, Grupo C",Inglaterra,Estados Unidos,1,1,NO,NO,,
2010,2010_r_6,6,54,resultados,13-Jun-2010,"1ra Ronda, Grupo C",Argelia,Eslovenia,0,1,NO,NO,,
2010,2010_r_7,7,55,resultados,13-Jun-2010,"1ra Ronda, Grupo D",Alemania,Australia,4,0,NO,NO,,
2010,2010_r_8,8,56,resultados,13-Jun-2010,"1ra Ronda, Grupo D",Serbia,Ghana,0,1,NO,NO,,
2010,2010_r_9,9,57,resultados,14-Jun-2010,"1ra Ronda, Grupo E",Paises Bajos,Dinamarca,2,0,NO,NO,,
2010,2010_r_10,10,58,resultados,14-Jun-2010,"1ra Ronda, Grupo E",Japón,Camerún,1,0,NO,NO,,
2010,2010_r_11,11,59,resultados,14-Jun-2010,"1ra Ronda, Grupo F",Italia,Paraguay,1,1,NO,NO,,
2010,2010_r_12,12,60,resultados,15-Jun-2010,"1ra Ronda, Grupo F",Nueva Zelanda,Eslovaquia,1,1,NO,NO,,
2010,2010_r_13,13,61,resultados,15-Jun-2010,"1ra Ronda, Grupo G",Costa de Marfil,Portugal,0,0,NO,NO,,
2010,2010_r_14,14,62,resultados,15-Jun-2010,"1ra Ronda, Grupo G",Brasil,Corea del Norte,2,1,NO,NO,,
2010,2010_r_15,15,63,resultados,16-Jun-2010,"1ra Ronda, Grupo H",Honduras,Chile,0,1,NO,NO,,
2010,2010_r_16,16,64,resultados,16-Jun-2010,"1ra Ronda, Grupo H",España,Suiza,0,1,NO,NO,,
2010,2010_r_17,17,65,resultados,16-Jun-2010,"1ra Ronda, Grupo A",Sudáfrica,Uruguay,0,3,NO,NO,,
2010,2010_r_18,18,66,resultados,17-Jun-2010,"1ra Ronda, Grupo A",Francia,México,0,2,NO,NO,,
2010,2010_r_19,19,67,resultados,17-Jun-2010,"1ra Ronda, Grupo B",Grecia,Nigeria,2,1,NO,NO,,
2010,2010_r_20,20,68,resultados,17-Jun-2010,"1ra Ronda, Grupo B",Argentina,Corea del Sur,4,1,NO,NO,,
2010,2010_r_21,21,69,resultados,18-Jun-2010,"1ra Ronda, Grupo D",Alemania,Serbia,0,1,NO,NO,,
2010,2010_r_22,22,70,resultados,18-Jun-2010,"1ra Ronda, Grupo C",Eslovenia,Estados Unidos,2,2,NO,NO,,
2010,2010_r_23,23,71,resultados,18-Jun-2010,"1ra Ronda, Grupo C",Inglaterra,Argelia,0,0,NO,NO,,
2010,2010_r_24,24,72,resultados,19-Jun-2010,"1ra Ronda, Grupo D",Ghana,Australia,1,1,NO,NO,,
2010,2010_r_25,25,73,resultados,19-Jun-2010,"1ra Ronda, Grupo E",Paises Bajos,Japón,1,0,NO,NO,,
2010,2010_r_26,26,74,resultados,19-Jun-2010,"1ra Ronda, Grupo E",Camerún,Dinamarca,1,2,NO,NO,,
2010,2010_r_27,27,75,resultados,20-Jun-2010,"1ra Ronda, Grupo F",Eslovaquia,Paraguay,0,2,NO,NO,,
2010,2010_r_28,28,76,resultados,20-Jun-2010,"1ra Ronda, Grupo F",Italia,Nueva Zelanda,1,1,NO,NO,,
2010,2010_r_29,29,77,resultados,20-Jun-2010,"1ra Ronda, Grupo G",Brasil,Costa de Marfil,3,1,NO,NO,,
2010,2010_r_30,30,78,resultados,21-Jun-2010,"1ra Ronda, Grupo G",Portugal,Corea del Norte,7,0,NO,NO,,
2010,2010_r_31,31,79,resultados,21-Jun-2010,"1ra Ronda, Grupo H",Chile,Suiza,1,0,NO,NO,,
2010,2010_r_32,32,80,resultados,21-Jun-2010,"1ra Ronda, Grupo H",España,Honduras,2,0,NO,NO,,
2010,2010_r_33,33,81,resultados,22-Jun-2010,"1ra Ronda, Grupo A",México,Uruguay,0,1,NO,NO,,
2010,2010_r_34,34,82,resultados,22-Jun-2010,"1ra Ronda, Grupo A",Francia,Sudáfrica,1,2,NO,NO,,
2010,2010_r_35,35,83,resultados,22-Jun-2010,"1ra Ronda, Grupo B",Nigeria,Corea del Sur,2,2,NO,NO,,
2010,2010_r_36,36,84,resultados,22-Jun-2010,"1ra Ronda, Grupo B",Grecia,Argentina,0,2,NO,NO,,
2010,2010_r_37,37,85,resultados,23-Jun-2010,"1ra Ronda, Grupo C",Eslovenia,Inglaterra,0,1,NO,NO,,
2010,2010_r_38,38,86,resultados,23-Jun-2010,"1ra Ronda, Grupo C",Estados Unidos,Argelia,1,0,NO,NO,,
2010,2010_r_39,39,87,resultados,23-Jun-2010,"1ra Ronda, Grupo D",Ghana,Alemania,0,1,NO,NO,,
2010,2010_r_40,40,88,resultados,23-Jun-2010,"1ra Ronda, Grupo D",Australia,Serbia,2,1,NO,NO,,
2010,2010_r_41,41,89,resultados,24-Jun-2010,"1ra Ronda, Grupo F",Eslovaquia,Italia,3,2,NO,NO,,
2010,2010_r_42,42,90,resultados,24-Jun-2010,"1ra Ronda, Grupo F",Paraguay,Nueva Zelanda,0,0,NO,NO,,
2010,2010_r_43,43,91,resultados,24-Jun-2010,"1ra Ronda, Grupo E",Dinamarca,Japón,1,3,NO,NO,,
2010,2010_r_44,44,92,resultados,24-Jun-2010,"1ra Ronda, Grupo E",Camerún,Paises Bajos,1,2,NO,NO,,
2010,2010_r_45,45,93,resultados,25-Jun-2010,"1ra Ronda, Grupo G",Portugal,Brasil,0,0,NO,NO,,
2010,2010_r_46,46,94,resultados,25-Jun-2010,"1ra Ronda, Grupo G",Corea del Norte,Costa de Marfil,0,3,NO,NO,,
2010,2010_r_47,47,95,resultados,25-Jun-2010,"1ra Ronda, Grupo H",Chile,España,1,2,NO,NO,,
2010,2010_r_48,48,96,resultados,25-Jun-2010,"1ra Ronda, Grupo H",Suiza,Honduras,0,0,NO,NO,,
2010,2010_r_49,49,97,resultados,26-Jun-2010,Octavos,Uruguay,Corea del Sur,2,1,NO,NO,,
2010,2010_r_50,50,98,resultados,26-Jun-2010,Octavos,Estados Unidos,Ghana,1,2,SI,NO,,
2010,2010_r_51,51,99,resultados,27-Jun-2010,Octavos,Alemania,Inglaterra,4,1,NO,NO,,
2010,2010_r_52,52,100,resultados,27-Jun-2010,Octavos,Argentina,México,3,1,NO,NO,,
2010,2010_r_53,53,101,resultados,28-Jun-2010,Octavos,Paises Bajos,Eslovaquia,2,1,NO,NO,,
2010,2010_r_54,54,102,resultados,28-Jun-2010,Octavos,Brasil,Chile,3,0,NO,NO,,
2010,2010_r_55,55,103,resultados,29-Jun-2010,Octavos,Paraguay,Japón,0,0,SI,SI,5,3
2010,2010_r_56,56,104,resultados,29-Jun-2010,Octavos,España,Portugal,1,0,NO,NO,,
2010,2010_r_57,57,105,resultados,02-Jul-2010,Cuartos,Paises Bajos,Brasil,2,1,NO,NO,,
2010,2010_r_58,58,106,resultados,02-Jul-2010,Cuartos,Uruguay,Ghana,1,1,SI,SI,4,2
2010,2010_r_59,59,107,resultados,03-Jul-2010,Cuartos,Argentina,Alemania,0,4,NO,NO,,
2010,2010_r_60,60,108,resultados,03-Jul-2010,Cuartos,Paraguay,España,0,1,NO,NO,,
2010,2010_r_61,61,109,resultados,06-Jul-2010,Semis,Uruguay,Paises Bajos,2,3,NO,NO,,
2010,2010_r_62,62,110,resultados,07-Jul-2010,Semis,Alemania,España,0,1,NO,NO,,
2010,2010_r_63,63,111,resultados,10-Jul-2010,3er Puesto,Uruguay,Alemania,2,3,NO,NO,,
2010,2010_r_64,64,112,resultados,11-Jul-2010,Final,Paises Bajos,España,0,1,SI,NO,,
