anio,id_partido_str,equipo,jugador,minuto,es_penal,es_autogol
2018,2018_gA_1,Rusia,Yury Gazinsky,12,NO,NO
2018,2018_gA_1,Rusia,Denis Cheryshev,43,NO,NO
2018,2018_gA_1,Rusia,Artem Dzyuba,71,NO,NO
2018,2018_gA_1,Rusia,Denis Cheryshev,90,NO,NO
2018,2018_gA_1,Rusia,Aleksandr Golovin,90,NO,NO
2018,2018_gA_2,Uruguay,José María Giménez,89,NO,NO
2018,2018_gA_3,Rusia,Ahmed Fathy,47,NO,SI
2018,2018_gA_3,Rusia,Denis Cheryshev,59,NO,NO
2018,2018_gA_3,Rusia,Artem Dzyuba,62,NO,NO
2018,2018_gA_3,Egipto,Mohamed Salah,73,SI,NO
2018,2018_gA_4,Uruguay,Luis Suarez,23,NO,NO
2018,2018_gA_5,Uruguay,Luis Suarez,10,NO,NO
2018,2018_gA_5,Uruguay,Denis Cheryshev,23,NO,SI
2018,2018_gA_5,Uruguay,Edinson Cavani,90,NO,NO
2018,2018_gA_6,Arabia Saudita,Salman Al-Faraj,45,SI,NO
2018,2018_gA_6,Arabia Saudita,Salem Al-Dawsari,90,NO,NO
2018,2018_gA_6,Egipto,Mohamed Salah,22,NO,NO
2018,2018_gB_1,Portugal,Cristiano Ronaldo,4,SI,NO
2018,2018_gB_1,Portugal,Cristiano Ronaldo,44,NO,NO
2018,2018_gB_1,Portugal,Cristiano Ronaldo,88,NO,NO
2018,2018_gB_1,España,Diego Costa,24,NO,NO
2018,2018_gB_1,España,Diego Costa,55,NO,NO
2018,2018_gB_1,España,Nacho,58,NO,NO
2018,2018_gB_2,Irán,Aziz Bouhaddouz,90,NO,SI
2018,2018_gB_3,Portugal,Cristiano Ronaldo,4,NO,NO
2018,2018_gB_4,España,Diego Costa,54,NO,NO
2018,2018_gB_5,Irán,Karim Ansarifard,90,SI,NO
2018,2018_gB_5,Portugal,Ricardo Quaresma,45,NO,NO
2018,2018_gB_6,España,Isco,19,NO,NO
2018,2018_gB_6,España,Iago Aspas,90,NO,NO
2018,2018_gB_6,Marruecos,Khalid Boutaïb,14,NO,NO
2018,2018_gB_6,Marruecos,Youssef En-Nesyri,81,NO,NO
2018,2018_gC_1,Francia,Antoine Griezmann,58,SI,NO
2018,2018_gC_1,Francia,Aziz Behich,81,NO,SI
2018,2018_gC_1,Australia,Mile Jedinak,62,SI,NO
2018,2018_gC_2,Dinamarca,Yussuf Yurary Poulsen,59,NO,NO
2018,2018_gC_3,Francia,Kylian Mbappé,34,NO,NO
2018,2018_gC_4,Dinamarca,Christian Eriksen,7,NO,NO
2018,2018_gC_4,Australia,Mile Jedinak,38,SI,NO
2018,2018_gC_6,Perú,André Carrillo,18,NO,NO
2018,2018_gC_6,Perú,Paolo Guerrero,50,NO,NO
2018,2018_gD_1,Argentina,Sergio Agüero,19,NO,NO
2018,2018_gD_1,Islandia,Alfred Finnbogason,23,NO,NO
2018,2018_gD_2,Croacia,Oghenekaro Etebo,32,NO,SI
2018,2018_gD_2,Croacia,Luka Modric,71,SI,NO
2018,2018_gD_3,Croacia,Ante Rebic,53,NO,NO
2018,2018_gD_3,Croacia,Luka Modric,80,NO,NO
2018,2018_gD_3,Croacia,Ivan Rakitic,90,NO,NO
2018,2018_gD_4,Nigeria,Ahmed Musa,49,NO,NO
2018,2018_gD_4,Nigeria,Ahmed Musa,75,NO,NO
2018,2018_gD_5,Nigeria,Victor Moses,51,SI,NO
2018,2018_gD_5,Argentina,Lionel Messi,14,NO,NO
2018,2018_gD_5,Argentina,Marcos Rojo,86,NO,NO
2018,2018_gD_6,Islandia,Gylfi Sigurdsson,76,SI,NO
2018,2018_gD_6,Croacia,Milan Badelj,53,NO,NO
2018,2018_gD_6,Croacia,Ivan Perisic,90,NO,NO
2018,2018_gE_1,Brasil,Philippe Coutinho,20,NO,NO
2018,2018_gE_1,Suiza,Steven Zuber,50,NO,NO
