anio,seleccion,dorsal,jugador,posicion
2018,Alemania,,,
2018,Arabia Saudita,,,
2018,Argentina,,,
2018,Australia,,,
2018,Bélgica,,,
2018,Brasil,,,
2018,Colombia,,,
2018,Corea del Sur,,,
2018,Costa Rica,,,
2018,Croacia,,,
2018,Dinamarca,,,
2018,Egipto,,,
2018,España,,,
2018,Francia,,,
2018,Inglaterra,,,
2018,Irán,,,
2018,Islandia,,,
2018,Japón,,,
2018,Marruecos,,,
2018,México,,,
2018,Nigeria,,,
2018,Panamá,,,
2018,Perú,,,
2018,Polonia,,,
2018,Portugal,,,
2018,Rusia,,,
2018,Senegal,,,
2018,Serbia,,,
2018,Suecia,,,
2018,Suiza,,,
2018,Túnez,,,
2018,Uruguay,,,
