anio,jugador,seleccion,goles,partidos,promedio
2022,Kylian Mbappé,Francia,8,7,1.14
2022,Lionel Messi,Argentina,7,7,1.00
2022,Julian Alvarez,Argentina,4,7,0.57
2022,Olivier Giroud,Francia,4,6,0.67
2022,Cody Gakpo,Paises Bajos,3,5,0.60
2022,Álvaro Morata,España,3,4,0.75
2022,Gonçalo Ramos,Portugal,3,4,0.75
2022,Marcus Rashford,Inglaterra,3,5,0.60
2022,Richarlison,Brasil,3,4,0.75
2022,Bukayo Saka,Inglaterra,3,4,0.75
2022,Enner Valencia,Ecuador,3,3,1.00
2022,Vincent Aboubakar,Camerún,2,3,0.67
2022,Salem Al-Dawsari,Arabia Saudita,2,3,0.67
2022,Gue-sung Cho,Corea del Sur,2,4,0.50
2022,Giorgian De Arrascaeta,Uruguay,2,2,1.00
2022,Ritsu Doan,Japón,2,4,0.50
2022,Breel Embolo,Suiza,2,4,0.50
2022,Youssef En-Nesyri,Marruecos,2,7,0.29
2022,Bruno Fernandes,Portugal,2,4,0.50
2022,Niclas Füllkrug,Alemania,2,3,0.67
2022,Kai Havertz,Alemania,2,2,1.00
2022,Harry Kane,Inglaterra,2,5,0.40
2022,Andrej Kramarić,Croacia,2,7,0.29
2022,Mohammed Kudus,Ghana,2,3,0.67
2022,Rafael Leão,Portugal,2,5,0.40
2022,Robert Lewandowski,Polonia,2,4,0.50
2022,Aleksandar Mitrović,Serbia,2,3,0.67
2022,Neymar Jr.,Brasil,2,3,0.67
2022,Mehdi Taremi,Irán,2,3,0.67
2022,Ferran Torres,España,2,4,0.50
2022,Wout Weghorst,Paises Bajos,2,4,0.50
2022,Zakaria Aboukhlal,Marruecos,1,4,0.25
2022,Manuel Akanji,Suiza,1,4,0.25
2022,Saleh Al-Shehri,Arabia Saudita,1,3,0.33
2022,Takuma Asano,Japón,1,4,0.25
2022,Marco Asensio,España,1,4,0.25
2022,Andre Ayew,Ghana,1,3,0.33
2022,Gareth Bale,Gales,1,3,0.33
2022,Michy Batshuayi,Bélgica,1,2,0.50
2022,Jude Bellingham,Inglaterra,1,5,0.20
2022,Daley Blind,Paises Bajos,1,5,0.20
2022,Osman Bukari,Ghana,1,2,0.50
2022,Moisés Caicedo,Ecuador,1,3,0.33
2022,Casemiro,Brasil,1,4,0.25
2022,Jean-Charles Castelletto,Camerún,1,2,0.50
2022,Luis Chávez,México,1,3,0.33
2022,Rouzbeh Cheshmi,Irán,1,2,0.50
2022,Eric Maxim Choupo Moting,Camerún,1,3,0.33
2022,Andreas Christensen,Dinamarca,1,3,0.33
2022,Achraf Dari,Marruecos,1,3,0.33
2022,Alphonso Davies,Canadá,1,3,0.33
2022,Frenkie de Jong,Paises Bajos,1,5,0.20
2022,Memphis Depay,Paises Bajos,1,5,0.20
2022,Angel Di Maria,Argentina,1,5,0.20
2022,Boulaye Dia,Senegal,1,4,0.25
2022,Famara Diéhiou,Senegal,1,2,0.50
2022,Bamba Dieng,Senegal,1,4,0.25
2022,Mitchell Duke,Australia,1,4,0.25
2022,Denzel Dumfries,Paises Bajos,1,5,0.20
2022,João Félix,Portugal,1,4,0.25
