anio,posicion,seleccion
2022,1,Argentina
2022,2,Francia
2022,3,Croacia
2022,4,Marruecos
2022,5,Paises Bajos
2022,6,Inglaterra
2022,7,Brasil
2022,8,Portugal
2022,9,Japón
2022,10,Senegal
2022,11,Australia
2022,12,Suiza
2022,13,España
2022,14,Estados Unidos
2022,15,Polonia
2022,16,Corea del Sur
2022,17,Alemania
2022,18,Ecuador
2022,19,Camerún
2022,20,Uruguay
2022,21,Túnez
2022,22,México
2022,23,Bélgica
2022,24,Ghana
2022,25,Arabia Saudita
2022,26,Irán
2022,27,Costa Rica
2022,28,Dinamarca
2022,29,Serbia
2022,30,Gales
2022,31,Canadá
2022,32,Catar
