id_jugador,nombre,anio,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
1,Gabriel Achilier,2014,21,Defensor,2,0,0,1,0,0.0,0,0,1,1,0,17
2,Alex Aguinaga,2002,10,Mediocampista,3,1,1,0,0,0.0,0,0,1,0,2,24
3,Paul Ambrosi,2006,13,Defensor,1,1,0,3,0,0.0,0,0,0,0,1,12
4,Robert Arboleda,2022,4,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,18
5,Xavier Arreaga,2022,14,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,18
6,Michael Arroyo,2014,15,Mediocampista,2,1,0,1,0,0.0,0,0,0,1,1,17
7,Nicolas Asencio,2002,7,Mediocampista,1,0,0,2,0,0.0,0,0,0,0,1,24
8,Jaime Ayoví,2014,17,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,17
9,Marlon Ayovi,2002,15,Defensor,3,1,0,0,0,0.0,0,0,1,0,2,24
9,Marlon Ayovi,2006,15,Mediocampista,1,1,1,3,0,0.0,0,0,0,0,1,12
10,Walter Ayovi,2002,23,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,24
10,Walter Ayovi,2014,10,Defensor,3,3,0,0,0,0.0,0,0,1,1,1,17
11,Óscar Bagüí,2014,18,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,17
12,Máximo Banguera,2014,1,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,17
13,Cristian Benitez,2006,23,Delantero,1,0,0,3,0,0.0,0,0,0,0,1,12
14,Adrian Bone,2014,12,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,17
15,Felix Borja,2006,9,Delantero,1,1,0,3,0,0.0,0,0,0,0,1,12
16,Juan Carlos Burbano,2002,14,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,24
17,Felipe Caicedo,2014,11,Delantero,3,2,0,0,0,0.0,0,0,1,1,1,17
18,Moisés Caicedo,2022,23,Mediocampista,3,3,0,0,1,0.33,1,0,1,1,1,18
19,Segundo Castillo,2006,14,Mediocampista,3,3,0,1,0,0.0,1,0,2,0,1,12
20,Jose Cevallos,2002,1,Arquero,3,3,0,0,0,0.0,1,0,1,0,2,24
21,Clever Chala,2002,16,Mediocampista,3,3,0,0,0,0.0,2,0,1,0,2,24
22,José Cifuentes,2022,5,Mediocampista,2,0,0,1,0,0.0,0,0,1,0,1,18
23,Ulises De La Cruz,2002,4,Defensor,3,3,0,0,0,0.0,1,0,1,0,2,24
24,Agustin Delgado,2002,11,Delantero,3,3,0,0,1,0.33,1,0,1,0,2,24
24,Agustin Delgado,2006,11,Delantero,3,3,0,1,2,0.67,0,0,2,0,1,12
25,Alexander Domínguez,2014,22,Arquero,3,3,0,0,0,0.0,0,0,1,1,1,17
25,Alexander Domínguez,2022,22,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,18
26,Frickson Erazo,2014,3,Defensor,3,3,0,0,0,0.0,1,0,1,1,1,17
27,Giovanny Espinoza,2002,17,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,24
27,Giovanny Espinoza,2006,17,Defensor,4,4,0,0,0,0.0,0,0,2,0,2,12
28,Michael Estrada,2022,11,Delantero,3,3,0,0,0,0.0,0,0,1,1,1,18
29,Pervis Estupiñán,2022,7,Defensor,3,3,0,0,0,0.0,0,0,1,1,1,18
30,Angel Fernandez,2002,13,Delantero,0,0,0,3,0,0.0,0,0,0,0,0,24
31,Alan Franco,2022,21,Mediocampista,2,1,0,1,0,0.0,0,0,1,0,1,18
32,Hernán Galíndez,2022,1,Arquero,3,3,0,0,0,0.0,0,0,1,1,1,18
33,Luis Gomez,2002,8,Defensor,0,0,0,3,0,0.0,0,0,0,0,0,24
34,Carlos Gruezo,2014,23,Mediocampista,2,1,0,1,0,0.0,0,0,1,0,1,17
34,Carlos Gruezo,2022,8,Mediocampista,1,1,0,2,0,0.0,0,0,0,0,1,18
35,Jorge Guagua,2006,2,Defensor,3,1,0,1,0,0.0,0,0,2,0,1,12
35,Jorge Guagua,2014,2,Defensor,3,3,0,0,0,0.0,0,0,1,1,1,17
36,Raul Guerron,2002,6,Defensor,3,3,0,0,0,0.0,1,0,1,0,2,24
37,Piero Hincapié,2022,3,Defensor,3,3,0,0,0,0.0,0,0,1,1,1,18
38,Ivan Hurtado,2002,3,Defensor,3,3,2,0,0,0.0,0,0,1,0,2,24
38,Ivan Hurtado,2006,3,Defensor,3,3,3,1,0,0.0,1,0,2,0,1,12
39,Giovanni Ibarra,2002,12,Arquero,0,0,0,3,0,0.0,0,0,0,0,0,24
40,Renato Ibarra,2014,5,Mediocampista,1,0,0,2,0,0.0,0,0,0,1,0,17
41,Romario Ibarra,2022,10,Mediocampista,2,1,0,1,0,0.0,0,0,1,1,0,18
42,Ivan Kaviedes,2002,9,Delantero,2,1,0,1,0,0.0,1,0,1,0,1,24
42,Ivan Kaviedes,2006,10,Delantero,4,1,0,0,1,0.25,0,0,2,0,2,12
43,Damian Lanza,2006,22,Arquero,0,0,0,4,0,0.0,0,0,0,0,0,12
44,Christian Lara,2006,7,Mediocampista,2,0,0,2,0,0.0,0,0,0,0,2,12
45,Fidel Martínez,2014,20,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,17
46,Ángel Mena,2022,15,Mediocampista,0,0,0,3,0,0.0,0,0,0,0,0,18
47,Edison Mendez,2002,19,Mediocampista,3,3,0,0,1,0.33,0,0,1,0,2,24
47,Edison Mendez,2006,8,Mediocampista,4,4,0,0,0,0.0,1,0,2,0,2,12
47,Edison Mendez,2014,8,Mediocampista,1,0,0,2,0,0.0,0,0,1,0,0,17
48,Jhegson Méndez,2022,20,Mediocampista,2,2,0,1,0,0.0,2,0,1,1,0,18
49,Oswaldo Minda,2014,14,Mediocampista,2,2,0,1,0,0.0,0,0,1,1,0,17
50,Jefferson Montero,2014,7,Mediocampista,3,3,0,0,0,0.0,1,0,1,1,1,17
51,Cristian Mora,2006,12,Arquero,4,4,0,0,0,0.0,1,0,2,0,2,12
52,Christian Noboa,2014,6,Mediocampista,3,3,0,0,0,0.0,0,0,1,1,1,17
