anio,id_grupo,selecciones
1930,1,"Argentina, Chile, Francia, México"
1930,2,"Bolivia, Brasil, Yugoslavia"
1930,3,"Perú, Rumania, Uruguay"
1930,4,"Bélgica, Estados Unidos, Paraguay"
1950,1,"Brasil, México, Suiza, Yugoslavia"
1950,2,"Chile, España, Estados Unidos, Inglaterra"
1950,3,"Italia, Paraguay, Suecia"
1950,4,"Bolivia, Uruguay"
1950,F,"Brasil, España, Suecia, Uruguay"
1954,1,"Brasil, Francia, México, Yugoslavia"
1954,2,"Alemania Occidental, Corea del Sur, Hungría, Turquía"
1954,3,"Austria, Checoslovaquia, Escocia, Uruguay"
1954,4,"Bélgica, Inglaterra, Italia, Suiza"
1958,1,"Alemania Occidental, Argentina, Checoslovaquia, Irlanda del Norte"
1958,2,"Escocia, Francia, Paraguay, Yugoslavia"
1958,3,"Gales, Hungría, México, Suecia"
1958,4,"Austria, Brasil, Inglaterra, URSS"
1962,1,"Colombia, URSS, Uruguay, Yugoslavia"
1962,2,"Alemania Occidental, Chile, Italia, Suiza"
1962,3,"Brasil, Checoslovaquia, España, México"
1962,4,"Argentina, Bulgaria, Hungría, Inglaterra"
1966,1,"Francia, Inglaterra, México, Uruguay"
1966,2,"Alemania Occidental, Argentina, España, Suiza"
1966,3,"Brasil, Bulgaria, Hungría, Portugal"
1966,4,"Chile, Corea del Norte, Italia, URSS"
1970,1,"Bélgica, El Salvador, México, URSS"
1970,2,"Israel, Italia, Suecia, Uruguay"
1970,3,"Brasil, Checoslovaquia, Inglaterra, Rumania"
1970,4,"Alemania Occidental, Bulgaria, Marruecos, Perú"
1974,1,"Alemania Occidental, Alemania Oriental, Australia, Chile"
1974,2,"Brasil, Escocia, Yugoslavia, Zaire"
1974,3,"Bulgaria, Paises Bajos, Suecia, Uruguay"
1974,4,"Argentina, Haití, Italia, Polonia"
1974,A,"Alemania Oriental, Argentina, Brasil, Paises Bajos"
1974,B,"Alemania Occidental, Polonia, Suecia, Yugoslavia"
1978,1,"Argentina, Francia, Hungría, Italia"
1978,2,"Alemania Occidental, México, Polonia, Túnez"
1978,3,"Austria, Brasil, España, Suecia"
1978,4,"Escocia, Irán, Paises Bajos, Perú"
1978,A,"Alemania Occidental, Austria, Italia, Paises Bajos"
1978,B,"Argentina, Brasil, Perú, Polonia"
1982,1,"Bélgica, Polonia, URSS"
1982,2,"Alemania Occidental, España, Inglaterra"
1982,3,"Argentina, Brasil, Italia"
1982,4,"Austria, Francia, Irlanda del Norte"
1982,A,"Camerún, Italia, Perú, Polonia"
1982,B,"Alemania Occidental, Argelia, Austria, Chile"
1982,C,"Argentina, Bélgica, El Salvador, Hungría"
1982,D,"Checoslovaquia, Francia, Inglaterra, Kuwait"
1982,E,"España, Honduras, Irlanda del Norte, Yugoslavia"
1982,F,"Brasil, Escocia, Nueva Zelanda, URSS"
1986,A,"Argentina, Bulgaria, Corea del Sur, Italia"
1986,B,"Bélgica, Iraq, México, Paraguay"
1986,C,"Canadá, Francia, Hungría, URSS"
1986,D,"Argelia, Brasil, España, Irlanda del Norte"
1986,E,"Alemania Occidental, Dinamarca, Escocia, Uruguay"
1986,F,"Inglaterra, Marruecos, Polonia, Portugal"
1990,A,"Austria, Checoslovaquia, Estados Unidos, Italia"
1990,B,"Argentina, Camerún, Rumania, URSS"
1990,C,"Brasil, Costa Rica, Escocia, Suecia"
1990,D,"Alemania Occidental, Colombia, Emiratos Arabes, Yugoslavia"
1990,E,"Bélgica, Corea del Sur, España, Uruguay"
1990,F,"Egipto, Inglaterra, Irlanda, Paises Bajos"
1994,A,"Colombia, Estados Unidos, Rumania, Suiza"
1994,B,"Brasil, Camerún, Rusia, Suecia"
1994,C,"Alemania, Bolivia, Corea del Sur, España"
1994,D,"Argentina, Bulgaria, Grecia, Nigeria"
1994,E,"Irlanda, Italia, México, Noruega"
1994,F,"Arabia Saudita, Bélgica, Marruecos, Paises Bajos"
1998,A,"Brasil, Escocia, Marruecos, Noruega"
1998,B,"Austria, Camerún, Chile, Italia"
1998,C,"Arabia Saudita, Dinamarca, Francia, Sudáfrica"
1998,D,"Bulgaria, España, Nigeria, Paraguay"
1998,E,"Bélgica, Corea del Sur, México, Paises Bajos"
1998,F,"Alemania, Estados Unidos, Irán, RF de Yugoslavia"
1998,G,"Colombia, Inglaterra, Rumania, Túnez"
1998,H,"Argentina, Croacia, Jamaica, Japón"
2002,A,"Dinamarca, Francia, Senegal, Uruguay"
2002,B,"Eslovenia, España, Paraguay, Sudáfrica"
2002,C,"Brasil, China, Costa Rica, Turquía"
2002,D,"Corea del Sur, Estados Unidos, Polonia, Portugal"
2002,E,"Alemania, Arabia Saudita, Camerún, Irlanda"
2002,F,"Argentina, Inglaterra, Nigeria, Suecia"
2002,G,"Croacia, Ecuador, Italia, México"
2002,H,"Bélgica, Japón, Rusia, Túnez"
2006,A,"Alemania, Costa Rica, Ecuador, Polonia"
2006,B,"Inglaterra, Paraguay, Suecia, Trinidad y Tobago"
2006,C,"Argentina, Costa de Marfil, Paises Bajos, Serbia y Montenegro"
2006,D,"Angola, Irán, México, Portugal"
2006,E,"Estados Unidos, Ghana, Italia, República Checa"
