id_jugador,nombre,id_seleccion,altura,fecha_nacimiento,nacionalidad
1,Gabriel Achilier,27,1.82 m,24 de marzo de 1985,Ecuador
2,Alex Aguinaga,27,1.72 m,9 de julio de 1968,Ecuador
3,Paul Ambrosi,27,1.77 m,14 de octubre de 1980,Ecuador
4,Robert Arboleda,27,1.89 m,22 de octubre de 1991,Ecuador
5,Xavier Arreaga,27,1.84 m,28 de septiembre de 1994,Ecuador
6,Michael Arroyo,61,1.77 m,23 de abril de 1987,Panamá
7,Nicolas Asencio,27,1.70 m,26 de abril de 1975,Ecuador
8,Jaime Ayoví,27,1.83 m,21 de febrero de 1988,Ecuador
9,Marlon Ayovi,27,1.74 m,27 de septiembre de 1971,Ecuador
10,Walter Ayovi,27,1.71 m,11 de agosto de 1979,Ecuador
11,Óscar Bagüí,27,1.73 m,10 de diciembre de 1982,Ecuador
12,Máximo Banguera,27,1.88 m,16 de diciembre de 1985,Ecuador
13,Cristian Benitez,27,1.68 m,1 de mayo de 1986,Ecuador
14,Adrian Bone,27,1.88 m,24 de noviembre de 1988,Ecuador
15,Felix Borja,27,1.80 m,2 de abril de 1983,Ecuador
16,Juan Carlos Burbano,27,1.74 m,15 de febrero de 1969,Ecuador
17,Felipe Caicedo,27,1.87 m,5 de septiembre de 1988,Ecuador
18,Moisés Caicedo,27,1.78 m,2 de noviembre de 2001,Ecuador
19,Segundo Castillo,80,1.79 m,15 de mayo de 1982,Uruguay
20,Jose Cevallos,27,1.82 m,17 de abril de 1971,Ecuador
21,Clever Chala,27,1.80 m,29 de junio de 1971,Ecuador
22,José Cifuentes,27,1.78 m,12 de marzo de 1999,Ecuador
23,Ulises De La Cruz,56,1.78 m,8 de febrero de 1974,México
24,Agustin Delgado,3,1.89 m,23 de diciembre de 1974,Angola
25,Alexander Domínguez,27,1.95 m,5 de junio de 1987,Ecuador
26,Frickson Erazo,27,1.90 m,5 de mayo de 1988,Ecuador
27,Giovanny Espinoza,56,1.84 m,12 de abril de 1977,México
28,Michael Estrada,27,1.87 m,7 de abril de 1996,Ecuador
29,Pervis Estupiñán,27,1.75 m,21 de enero de 1998,Ecuador
30,Angel Fernandez,27,1.72 m,2 de agosto de 1971,Ecuador
31,Alan Franco,27,1.75 m,21 de agosto de 1998,Ecuador
32,Hernán Galíndez,27,1.89 m,30 de marzo de 1987,Ecuador
33,Luis Gomez,61,1.72 m,20 de abril de 1972,Panamá
34,Carlos Gruezo,27,1.72 m,19 de abril de 1995,Ecuador
35,Jorge Guagua,27,1.79 m,28 de septiembre de 1981,Ecuador
36,Raul Guerron,27,1.84 m,12 de octubre de 1976,Ecuador
37,Piero Hincapié,27,1.83 m,9 de enero de 2002,Ecuador
