id_gol,id_partido,id_seleccion,id_jugador,minuto,es_penal,es_autogol
1,1,36,3966,19,NO,NO
2,1,36,3963,40,NO,NO
3,1,36,3988,43,NO,NO
4,1,36,3988,87,NO,NO
5,1,56,7679,70,NO,NO
6,2,6,5694,81,NO,NO
7,3,17,786,3,NO,NO
8,3,17,7854,51,NO,SI
9,3,17,786,65,NO,NO
10,4,6,5415,8,NO,NO
11,4,6,5445,12,NO,NO
12,4,6,5415,17,NO,NO
13,4,6,5434,53,NO,NO
14,4,6,5445,55,NO,NO
15,4,6,5415,80,NO,NO
16,4,56,7854,42,SI,NO
17,4,56,7854,65,NO,NO
18,4,56,7732,75,NO,NO
19,5,17,766,65,NO,NO
20,6,6,5415,12,NO,NO
21,6,6,5415,13,NO,NO
22,6,6,5246,51,NO,NO
23,6,17,766,15,NO,NO
24,7,85,3749,21,NO,NO
25,7,85,3544,30,NO,NO
26,7,11,1767,62,NO,NO
27,8,85,3544,60,NO,NO
28,8,85,3645,65,NO,NO
29,8,85,3544,67,NO,NO
30,8,85,3760,85,NO,NO
31,9,11,1729,37,NO,NO
32,9,11,1767,67,NO,NO
33,9,11,1729,73,NO,NO
34,9,11,1767,83,NO,NO
35,10,68,1875,1,NO,NO
36,10,68,1946,79,NO,NO
37,10,68,1897,89,NO,NO
38,10,63,2216,75,NO,NO
39,11,80,5838,60,NO,NO
40,12,80,5861,7,NO,NO
41,12,80,5995,24,NO,NO
42,12,80,5810,30,NO,NO
43,12,80,5842,35,NO,NO
44,13,35,2844,23,NO,NO
45,13,35,2799,45,NO,NO
46,13,35,2861,69,NO,NO
47,14,35,2861,10,NO,NO
48,14,35,2861,15,NO,NO
49,14,35,2861,50,NO,NO
50,15,62,4434,40,NO,NO
51,34,6,5694,20,NO,NO
52,34,6,5403,56,NO,NO
53,34,6,5415,69,NO,NO
54,34,6,5363,80,NO,NO
55,34,6,5363,85,NO,NO
56,34,6,5415,87,NO,NO
57,34,35,2761,89,NO,NO
58,34,80,5842,18,NO,NO
59,34,80,5810,20,NO,NO
60,34,80,5810,31,NO,NO
61,34,80,5900,61,NO,NO
62,34,80,5842,67,NO,NO
63,34,80,5842,72,NO,NO
64,34,85,3721,4,NO,NO
65,34,6,5363,20,NO,NO
66,34,6,5415,37,NO,NO
67,34,80,5861,12,NO,NO
68,34,80,5842,57,NO,NO
69,34,80,5900,68,NO,NO
70,34,80,5838,89,NO,NO
71,52,1,6178,25,NO,NO
72,52,1,6283,49,NO,NO
73,52,1,6077,66,NO,NO
74,52,1,6077,70,NO,NO
75,52,1,6077,87,NO,NO
76,52,13,6753,29,NO,NO
77,52,13,6753,43,NO,NO
78,52,73,3424,9,NO,NO
79,52,73,3424,67,NO,NO
80,52,73,3438,79,NO,NO
81,52,6,5184,4,NO,NO
82,52,6,5260,48,NO,NO
83,52,51,5757,18,NO,NO
84,52,51,5713,20,NO,NO
85,52,51,5757,29,NO,NO
86,52,51,5627,63,NO,NO
87,52,51,5757,64,NO,NO
88,52,51,5713,69,NO,NO
89,52,51,5689,90,NO,NO
90,52,35,2788,57,NO,NO
91,52,42,7615,11,NO,NO
92,52,42,7618,27,NO,NO
93,52,42,7631,53,NO,NO
94,52,42,7618,61,NO,NO
95,52,28,2084,31,NO,NO
96,52,28,2084,39,NO,NO
97,52,34,4949,18,SI,NO
98,52,34,4949,25,NO,NO
99,52,34,4964,29,NO,NO
100,52,11,1690,55,NO,NO
101,52,86,560,50,NO,NO
102,52,86,537,67,NO,NO
103,52,68,1877,11,NO,NO
104,52,74,8129,7,NO,NO
105,52,74,8129,43,NO,NO
106,52,74,8033,69,NO,NO
107,52,60,6480,19,NO,NO
108,52,60,6526,84,NO,NO
109,52,8,4647,44,NO,NO
110,52,8,4639,93,NO,NO
111,52,8,4552,109,NO,NO
112,52,36,3998,18,NO,NO
113,52,36,4067,116,SI,NO
114,52,86,585,24,NO,NO
115,52,86,585,49,NO,NO
116,52,86,537,82,NO,NO
117,52,74,8129,18,NO,NO
118,52,74,8125,78,NO,NO
119,52,8,4586,8,NO,NO
120,52,8,4669,51,NO,NO
121,52,42,7596,60,SI,NO
122,52,1,6146,60,NO,NO
123,52,1,6146,63,NO,NO
124,52,73,3372,82,NO,NO
125,52,51,5627,44,NO,NO
126,52,34,7836,30,NO,NO
127,52,51,5689,11,NO,NO
128,52,86,537,21,NO,NO
129,52,86,537,69,NO,NO
130,52,86,537,80,NO,NO
131,52,1,6234,62,NO,NO
132,52,51,5653,19,NO,NO
133,52,8,4586,28,NO,NO
134,52,8,4646,54,NO,NO
135,52,1,6198,1,NO,NO
136,52,1,6077,27,NO,NO
137,52,1,6198,42,NO,NO
138,52,51,5713,81,NO,NO
139,52,51,5757,95,NO,NO
140,52,86,560,76,NO,NO
141,71,74,8033,43,NO,NO
142,71,1,6102,29,NO,NO
143,71,36,4064,1,NO,NO
144,71,36,3998,16,NO,NO
145,71,36,3998,69,NO,NO
146,71,13,6638,38,NO,NO
147,71,51,5630,2,NO,NO
148,71,51,5732,94,NO,NO
149,71,58,7396,83,NO,NO
150,71,11,1690,18,NO,NO
151,71,11,1792,25,NO,NO
152,71,11,1761,44,NO,NO
153,71,11,1761,71,NO,NO
154,71,11,1690,93,NO,NO
155,71,11,1690,104,NO,NO
156,71,64,3162,23,SI,NO
157,71,64,3178,53,NO,NO
158,71,64,3178,59,NO,NO
159,71,64,3178,89,NO,NO
160,71,64,3178,118,NO,NO
161,71,42,7553,13,NO,NO
162,71,42,7618,15,NO,NO
163,71,42,7596,28,NO,NO
164,71,42,7634,35,NO,NO
165,71,42,7634,76,NO,NO
166,71,42,7596,89,NO,NO
167,71,86,506,93,NO,NO
168,71,86,537,111,NO,NO
169,71,86,597,118,NO,NO
170,71,25,2431,44,NO,NO
171,71,25,2428,69,NO,NO
172,71,25,2431,103,NO,NO
173,71,68,1856,35,NO,NO
174,71,68,1852,88,NO,NO
175,71,68,1877,105,NO,NO
176,71,74,8219,42,NO,NO
177,71,74,8051,64,NO,NO
178,71,74,8033,75,NO,NO
179,71,74,8033,78,NO,NO
180,71,1,6118,8,NO,NO
181,71,1,8141,22,NO,SI
182,71,25,2431,51,NO,NO
183,71,25,2426,53,NO,NO
184,71,68,1877,28,NO,NO
185,71,73,3432,9,NO,NO
186,71,73,3532,32,NO,NO
187,71,73,3532,37,NO,NO
188,71,73,3532,44,NO,NO
189,71,73,3432,80,NO,NO
190,71,73,3432,81,NO,NO
191,71,73,3480,84,NO,NO
192,71,73,3342,90,NO,NO
193,71,51,5591,9,NO,NO
194,71,51,5732,51,NO,NO
195,71,51,5732,72,NO,NO
196,71,36,3936,10,NO,NO
197,71,42,7596,40,NO,NO
198,71,42,7634,89,NO,NO
199,71,11,1690,30,NO,NO
200,71,86,537,65,SI,NO
201,71,11,1690,57,NO,NO
202,71,11,5047,63,NO,NO
203,71,86,503,25,NO,NO
204,71,42,3414,19,NO,SI
205,71,42,7598,37,NO,NO
206,71,42,7634,39,NO,NO
207,71,42,7596,65,NO,NO
208,71,42,7634,85,NO,NO
209,71,73,3480,1,NO,NO
210,71,11,1792,87,NO,NO
211,71,51,5591,51,NO,NO
212,71,51,5689,60,SI,NO
213,71,11,1792,44,NO,NO
214,71,11,1690,63,NO,NO
215,71,11,1690,74,NO,NO
216,71,11,1761,80,NO,NO
217,71,73,3424,28,NO,NO
218,71,73,3480,38,NO,NO
219,71,51,5591,6,NO,NO
220,71,51,5732,16,NO,NO
221,71,51,5591,35,NO,NO
222,71,51,5732,82,NO,NO
223,71,42,7617,8,NO,NO
224,71,42,7596,70,NO,NO
225,72,11,1519,30,NO,NO
226,72,11,1660,65,NO,NO
227,72,11,1546,71,NO,NO
228,72,11,1519,79,NO,NO
229,73,85,3665,59,NO,NO
230,73,85,3750,70,NO,NO
231,73,85,3679,84,NO,NO
232,74,11,1528,3,NO,NO
233,74,11,1546,32,NO,NO
234,74,74,8087,17,NO,NO
235,74,74,8087,88,NO,NO
236,75,85,3546,20,NO,NO
237,75,85,3554,23,NO,NO
238,75,85,3554,51,NO,NO
239,75,85,3750,81,NO,NO
240,75,56,7812,89,SI,NO
241,76,11,1519,4,NO,NO
242,76,11,1846,69,NO,NO
243,77,74,8043,10,NO,NO
244,77,74,8042,44,NO,NO
245,77,56,7681,89,NO,NO
246,78,34,4947,81,NO,NO
247,78,34,4875,83,NO,NO
248,78,34,5099,89,NO,NO
