jugador,seleccion_nacionalidad,mundial,camiseta,posicion,jugo,jugo_titular,capitan,no_jugo,goles,prom_goles,tarjeta_amarilla,tarjeta_roja,pg,pe,pp,pos_final
Aaron Clapham,Nueva Zelanda,2010,16,Mediocampista,0,0,0,3,0,0.00,0,0,0,0,0,22
Aaron Lawrence,Jamaica,1998,13,Arquero,1,1,0,2,0,0.00,0,0,1,0,0,22
Aaron Lennon,Inglaterra,2006,19,Mediocampista,3,0,0,2,0,0.00,0,0,2,1,0,7
Aaron Lennon,Inglaterra,2010,7,Mediocampista,2,2,0,2,0,0.00,0,0,0,2,0,13
Aaron Long,Estados Unidos,2022,15,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,14
Aaron Mokoena,Sudáfrica,2002,4,Defensor,3,3,0,0,0,0.00,2,0,1,1,1,17
Aaron Mokoena,Sudáfrica,2010,4,Defensor,3,3,3,0,0,0.00,0,0,1,1,1,20
Aaron Mooy,Australia,2018,13,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,30
Aaron Mooy,Australia,2022,13,Mediocampista,4,4,0,0,0,0.00,1,0,2,0,2,11
Aaron Padilla,México,1966,8,Delantero,3,3,0,0,0,0.00,0,0,0,2,1,12
Aaron Padilla,México,1970,11,Delantero,3,3,0,1,0,0.00,0,0,2,0,1,6
Aaron Ramsdale,Inglaterra,2022,23,Arquero,0,0,0,5,0,0.00,0,0,0,0,0,6
Aaron Ramsey,Gales,2022,10,Mediocampista,3,3,0,0,0,0.00,1,0,0,1,2,30
Abdallah Lamrani,Marruecos,1970,2,Defensor,2,2,0,1,0,0.00,0,0,0,0,2,14
Abdallah Said,Egipto,2018,19,Mediocampista,3,3,0,0,0,0.00,0,0,0,0,3,31
Abdé Ezzalzouli,Marruecos,2022,16,Delantero,3,0,0,4,0,0.00,0,0,0,2,1,4
Abdel Aziz Soulaymani,Marruecos,1986,21,Mediocampista,3,0,0,1,0,0.00,0,0,1,2,0,11
Abdel Kader Ben Bouali,Francia,1938,-,Defensor,0,0,0,2,0,0.00,0,0,0,0,0,8
Abdel Sharli,Egipto,1934,-,Defensor,1,1,0,0,0,0.00,0,0,0,0,1,13
Abdelaziz Ben-Tifour,Francia,1954,15,Mediocampista,1,1,0,1,0,0.00,0,0,1,0,0,9
Abdelaziz Hatem,Catar,2022,6,Mediocampista,3,2,0,0,0,0.00,0,0,0,0,3,32
Abdelfettah Houdani,Marruecos,1986,22,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,11
Abdelfettah Rhiati,Marruecos,1986,13,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,11
Abdelhamid Sabiri,Marruecos,2022,11,Delantero,5,2,0,2,0,0.00,1,0,2,2,1,4
Abdelhamid Sadmi,Argelia,1986,15,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,22
Abdelilah Saber,Marruecos,1998,2,Defensor,3,3,0,0,0,0.00,0,0,1,1,1,18
Abdeljalil Hadda,Marruecos,1998,9,Delantero,3,3,0,0,2,0.67,1,0,1,1,1,18
Abdelkader El Brazi,Marruecos,1998,1,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,18
Abdelkader El Khyati,Marruecos,1970,18,Defensor,1,0,0,2,0,0.00,0,0,0,0,1,14
Abdelkader Ghezzal,Argelia,2010,9,Delantero,2,0,0,1,0,0.00,0,1,0,0,2,28
Abdelkader Horr,Argelia,1982,17,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,13
Abdelkader Laifaoui,Argelia,2010,14,Defensor,0,0,0,3,0,0.00,0,0,0,0,0,28
Abdelkarim El Hadrioui,Marruecos,1994,3,Defensor,3,3,0,0,0,0.00,1,0,0,0,3,23
Abdelkarim El Hadrioui,Marruecos,1998,3,Defensor,2,2,0,1,0,0.00,0,0,0,1,1,18
Abdelkarim Hassan,Catar,2022,3,Mediocampista,3,3,0,0,0,0.00,0,0,0,0,3,32
Abdelkarim Krimau,Marruecos,1986,9,Delantero,4,4,0,0,1,0.25,0,0,1,2,1,11
Abdellah Bidar,Marruecos,1986,20,Defensor,0,0,0,4,0,0.00,0,0,0,0,0,11
Abdellah Medjadi,Argelia,1986,5,Defensor,2,2,0,1,0,0.00,0,0,0,1,1,22
Abdellah Ouriaghli,Marruecos,1970,19,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,14
Abdelmajid Bourebbou,Argelia,1982,20,Delantero,1,1,0,2,0,0.00,0,0,1,0,0,13
Abdelmajid Bouyboud,Marruecos,1994,19,Mediocampista,1,1,0,2,0,0.00,1,0,0,0,1,23
Abdelmajid Dolmy,Marruecos,1986,6,Mediocampista,4,4,0,0,0,0.00,0,0,1,2,1,11
Abdelmajid Lamriss,Marruecos,1986,3,Defensor,4,4,0,0,0,0.00,1,0,1,2,1,11
Abdelmoumene Djabou,Argelia,2014,18,Mediocampista,3,2,0,1,2,0.67,0,0,1,1,1,14
Abdelrazzak Khairi,Marruecos,1986,17,Mediocampista,4,3,0,0,2,0.50,1,0,1,2,1,11
Abdelslam Laghrissi,Marruecos,1994,17,Delantero,1,0,0,2,0,0.00,0,0,0,0,1,23
Abderrahim Ouakili,Marruecos,1998,10,Delantero,0,0,0,3,0,0.00,0,0,0,0,0,18
Abderrazak Hamdallah,Marruecos,2022,9,Delantero,4,0,0,3,0,0.00,0,0,2,1,1,4
Abderrhamane Mahjoub,Francia,1954,13,Mediocampista,1,1,0,1,0,0.00,0,0,1,0,0,9
Abdiel Arroyo,Panamá,2018,16,Delantero,2,0,0,1,0,0.00,0,0,0,0,2,32
Abdou Diallo,Senegal,2022,22,Defensor,4,4,0,0,0,0.00,0,0,2,0,2,10
Abdoulaye Diallo,Senegal,2018,1,Arquero,0,0,0,3,0,0.00,0,0,0,0,0,17
Abdoulaye Meite,Costa de Marfil,2006,12,Defensor,2,2,0,1,0,0.00,0,0,0,0,2,19
Abdul Fatawu Issahaku,Ghana,2022,7,Mediocampista,1,0,0,2,0,0.00,0,0,0,0,1,24
