jugador,seleccion_nacionalidad,altura,fecha_nac,posicion,num_camiseta,mundiales
Aaron Clapham,Nueva Zelanda,1.72 m,15 de enero de 1987,Mediocampista,16,2010
Aaron Lawrence,Jamaica,,11 de agosto de 1970,Arquero,13,1998
Aaron Lennon,Inglaterra,1.65 m,16 de abril de 1987,Mediocampista,"19, 7","2006, 2010"
Aaron Long,Estados Unidos,1.88 m,12 de octubre de 1992,Defensor,15,2022
Aaron Mokoena,Sudáfrica,1.83 m,25 de noviembre de 1980,Defensor,4,"2002, 2010"
Aaron Mooy,Australia,1.74 m,15 de septiembre de 1990,Mediocampista,13,"2018, 2022"
Aaron Padilla,México,,10 de julio de 1942,Delantero,"8, 11","1966, 1970"
Aaron Ramsdale,Inglaterra,1.88 m,14 de mayo de 1998,Arquero,23,2022
Aaron Ramsey,Gales,1.78 m,26 de diciembre de 1990,Mediocampista,10,2022
Abdallah Lamrani,Marruecos,,1 de enero de 1946,Defensor,2,1970
Abdallah Said,Egipto,1.75 m,13 de julio de 1985,Mediocampista,19,2018
Abdé Ezzalzouli,Marruecos,1.77 m,17 de diciembre de 2001,Delantero,16,2022
Abdel Aziz Soulaymani,Marruecos,,30 de abril de 1958,Mediocampista,21,1986
Abdel Kader Ben Bouali,Francia,,25 de octubre de 1912,Defensor,-,1938
Abdel Sharli,Egipto,,,Defensor,-,1934
Abdelaziz Ben-Tifour,Francia,,25 de julio de 1927,Mediocampista,15,1954
Abdelaziz Hatem,Catar,1.82 m,1 de enero de 1990,Mediocampista,6,2022
Abdelfettah Houdani,Marruecos,,30 de julio de 1956,Arquero,22,1986
Abdelfettah Rhiati,Marruecos,,25 de febrero de 1963,Delantero,13,1986
Abdelhamid Sabiri,Marruecos,1.86 m,28 de noviembre de 1996,Mediocampista,11,2022
Abdelhamid Sadmi,Argelia,,1 de enero de 1961,Defensor,15,1986
Abdelilah Saber,Marruecos,,21 de abril de 1974,Defensor,2,1998
Abdeljalil Hadda,Marruecos,,21 de marzo de 1972,Delantero,9,1998
Abdelkader El Brazi,Marruecos,,5 de noviembre de 1964,Arquero,1,1998
Abdelkader El Khyati,Marruecos,,1 de enero de 1945,Defensor,18,1970
Abdelkader Ghezzal,Argelia,1.86 m,5 de diciembre de 1984,Delantero,9,2010
Abdelkader Horr,Argelia,,10 de noviembre de 1953,Defensor,17,1982
Abdelkader Laifaoui,Argelia,1.77 m,29 de julio de 1981,Defensor,14,2010
Abdelkarim El Hadrioui,Marruecos,,6 de marzo de 1972,Defensor,3,"1994, 1998"
Abdelkarim Hassan,Catar,1.85 m,28 de agosto de 1993,Defensor,3,2022
Abdelkarim Krimau,Marruecos,,13 de enero de 1955,Delantero,9,1986
Abdellah Bidar,Marruecos,,19 de agosto de 1967,Defensor,20,1986
Abdellah Medjadi,Argelia,,1 de diciembre de 1957,Defensor,5,1986
Abdellah Ouriaghli,Marruecos,,1 de enero de 1943,Arquero,19,1970
Abdelmajid Bourebbou,Argelia,,16 de marzo de 1951,Delantero,20,1982
Abdelmajid Bouyboud,Marruecos,,24 de octubre de 1966,Mediocampista,19,1994
Abdelmajid Dolmy,Marruecos,,19 de abril de 1953,Mediocampista,6,1986
Abdelmajid Lamriss,Marruecos,,12 de febrero de 1959,Defensor,3,1986
Abdelmoumene Djabou,Argelia,1.65 m,31 de enero de 1987,Mediocampista,18,2014
Abdelrazzak Khairi,Marruecos,,20 de noviembre de 1962,Mediocampista,17,1986
Abdelslam Laghrissi,Marruecos,,5 de enero de 1962,Delantero,17,1994
Abderrahim Ouakili,Marruecos,,11 de diciembre de 1970,Delantero,10,1998
Abderrazak Hamdallah,Marruecos,1.79 m,17 de diciembre de 1990,Delantero,9,2022
Abderrhamane Mahjoub,Francia,,25 de abril de 1929,Mediocampista,13,1954
Abdiel Arroyo,Panamá,1.87 m,13 de diciembre de 1993,Delantero,16,2018
Abdou Diallo,Senegal,1.87 m,4 de mayo de 1996,Defensor,22,2022
Abdoulaye Diallo,Senegal,1.89 m,30 de marzo de 1992,Arquero,1,2018
Abdoulaye Meite,Costa de Marfil,1.85 m,6 de octubre de 1980,Defensor,12,2006
Abdul Fatawu Issahaku,Ghana,1.77 m,8 de marzo de 2004,Delantero,7,2022
Abdul-Rahim,Iraq,,23 de mayo de 1963,Delantero,11,1986
Baba Rahman,Ghana,1.80 m,2 de julio de 1994,Defensor,17,2022
Abdulaziz Al Anbari,Kuwait,,3 de enero de 1954,Delantero,10,1982
Abdulaziz Al Balushi,Kuwait,,16 de febrero de 1960,Mediocampista,8,1982
Abdulaziz Al Janoubi,Arabia Saudita,1.76 m,21 de julio de 1974,Defensor,19,1998
Abdulaziz Khathran,Arabia Saudita,1.69 m,31 de julio de 1973,"Defensor, Mediocampista","14, 12","2002, 2006"
Abdulaziz Mohamed,Emiratos Arabes,,12 de diciembre de 1965,Delantero,9,1990
Abdulaziz Mohammed,Kuwait,,4 de diciembre de 1962,Delantero,20,1982
Abdulelah Al-Amri,Arabia Saudita,1.85 m,15 de enero de 1997,Defensor,4,2022
Abdulelah Al-Malki,Arabia Saudita,1.76 m,11 de octubre de 1994,Mediocampista,8,2022
Abdullah Al Dosari,Arabia Saudita,,1 de noviembre de 1969,Defensor,2,1994
Abdullah Al-Khaibari,Arabia Saudita,,16 de agosto de 1996,Mediocampista,15,2018
Abdullah Al-Mayouf,Arabia Saudita,1.88 m,23 de enero de 1987,Arquero,1,2018
Abdullah Alwaked Al Shahrani,Arabia Saudita,1.78 m,29 de septiembre de 1975,Mediocampista,17,2002
Abdullah Ercan,Turquía,1.82 m,8 de diciembre de 1971,Mediocampista,19,2002
Abdullah Gaman Al Dosari,Arabia Saudita,1.83 m,10 de noviembre de 1977,Delantero,15,2002
Abdullah Madu,Arabia Saudita,1.87 m,15 de julio de 1993,Defensor,3,2022
Abdullah Mayuf,Kuwait,,3 de diciembre de 1953,Defensor,14,1982
Abdullah Musa,Emiratos Arabes,,2 de marzo de 1958,Arquero,1,1990
Abdullah Otayf,Arabia Saudita,1.77 m,3 de agosto de 1992,Mediocampista,14,"2018, 2022"
Abdullah Sultan,Emiratos Arabes,,1 de octubre de 1963,Mediocampista,5,1990
Abdullah Zubromawi,Arabia Saudita,1.81 m,15 de noviembre de 1973,Defensor,4,"1994, 1998, 2002"
Abdulmalek Al-Khaibri,Arabia Saudita,1.75 m,13 de marzo de 1986,Mediocampista,11,2018
Abdulrahman Al-Aboud,Arabia Saudita,1.74 m,1 de junio de 1995,Mediocampista,20,2022
Abdulrahman Al Haddad,Emiratos Arabes,,23 de septiembre de 1966,Defensor,21,1990
Abdulrahman Fawzi,Egipto,,11 de agosto de 1909,Delantero,-,1934
Abel,Brasil,,1 de septiembre de 1952,Defensor,14,1978
Abel Aguilar,Colombia,1.86 m,6 de enero de 1985,Mediocampista,8,"2014, 2018"
Abel Balbo,Argentina,,1 de junio de 1966,Delantero,"3, 19, 18","1990, 1994, 1998"
